variable,category
is_weekend,meta
precipitation_daily,meta
degree_cent,meta
between_cent,meta
close_cent,meta
adverse_weather,incident
breakdown,incident
building_fire,incident
burst_water_main,incident
bushfire,incident
changed_traffic_conditions,incident
crash,incident
emergency_roadwork,incident
flooding,incident
grass_fire,incident
hazard,incident
heavy_traffic,incident
holiday_traffic,incident
late_finishing_roadwork,incident
scheduled_roadwork,incident
special_event,incident
traffic_lights_blacked_out,incident
traffic_lights_flashing_yellow,incident
mean_flow_hourly,traffic
is_major_incident,traffic
impact_hours,traffic
