source_station,target_station,lag_hour,effect_size,p_value
7119-PR,7119-PR,1,0.7963391476422367,0.0
7179,7179,1,0.7919144474315766,0.0
68025,68025,1,0.7702954098971951,0.0
7164,7164,1,0.7660805420134865,0.0
50240,50240,1,0.7000432933421106,0.0
7179,7179,2,-0.16145275922152558,4.189754990668314e-52
7119-PR,7119-PR,2,-0.15480089616944426,5.959650286471777e-48
50240,7164,1,0.1454130573473042,1.8264801521024676e-42
7179,50240,1,0.1332531909586635,6.808021613010073e-36
7179,7119-PR,1,0.1320820343667095,2.756957105772753e-35
50240,68025,1,0.12954098003749054,5.430016710261099e-34
7164,7164,2,-0.12867033229345512,1.5206793086004298e-33
7179,7164,1,0.1258942501611481,3.512870894171574e-32
7179,68025,1,0.12468886492617424,1.3428056781982869e-31
50240,7119-PR,1,0.11709034356282316,4.958615213679634e-28
68025,68025,3,-0.1121515035491794,7.582591288474713e-26
7119-PR,7179,1,0.11056575047218815,3.663439172861546e-25
7119-PR,7164,1,0.09579124918420703,3.005068791179293e-19
50240,68025,4,-0.09571380264370462,3.151151439674243e-19
68025,7164,1,0.09153234066252675,1.0434814588849742e-17
68025,68025,2,-0.09008677059213471,3.337001060113502e-17
68025,7179,1,0.08989110760463563,3.8885849023541596e-17
7119-PR,50240,1,0.08918039581437001,6.916755546987241e-17
68025,50240,1,0.08608049668681203,7.721287478837788e-16
7179,7179,6,-0.08508952237903751,1.6404939107001088e-15
7164,7164,3,-0.08297630303586098,8.329769417505385e-15
68025,7119-PR,1,0.08098039571254352,3.504947434666814e-14
7164,50240,1,0.08022963552039115,6.018735079920705e-14
7119-PR,7119-PR,3,-0.07642703258327485,8.707123644670674e-13
50240,7164,4,-0.07570589704339925,1.417944607477621e-12
7179,7119-PR,2,0.07385219693850424,4.833869207854978e-12
50240,7179,1,0.07382930505492681,4.907607223039163e-12
7164,7119-PR,1,0.07252450923335996,1.1795155213148476e-11
7179,7164,2,0.07199795847964043,1.64077746401292e-11
7164,7179,1,0.06872982748415522,1.28316000306682e-10
50240,68025,3,-0.06784450031126193,2.207759210623562e-10
50240,7164,2,-0.06551307895520445,8.961583766774288e-10
7119-PR,68025,1,0.06471819813759935,1.4240554771677386e-09
7164,68025,1,0.06302436391575403,3.784975705182412e-09
50240,50240,3,-0.06102663421808419,1.148852706448335e-08
7164,7164,6,0.060223485234026396,1.8160075592707575e-08
7164,7164,5,0.05799548711496819,5.946890722349689e-08
50240,7119-PR,4,-0.054840246649656414,2.94248776100778e-07
7179,7164,4,-0.05242009494001399,9.558740498949168e-07
7119-PR,7119-PR,5,0.052291834958893425,1.020392401361738e-06
50240,50240,6,-0.049872275398955064,3.1270946358131794e-06
7179,68025,2,0.04891970724076211,4.798862616733533e-06
50240,7119-PR,2,0.04855696962576821,5.6403192590107214e-06
68025,7164,5,0.04622224753885841,1.5606683136521292e-05
68025,7119-PR,2,-0.04399607629567734,3.9198728322410004e-05
68025,68025,5,0.04204570040782852,8.497484972303426e-05
7164,68025,2,-0.040619933871998984,0.00014711459636048942
7164,68025,6,0.037519144660765454,0.00045573295930104434
50240,7179,4,-0.03738736024112699,0.00047479068454680227
7179,7119-PR,4,-0.03623385978049384,0.0007083866810128396
50240,7179,2,0.03565761657301185,0.0008597497052084206
7164,50240,2,-0.03253961055623561,0.002358993998431949
50240,68025,2,-0.031013905171265885,0.0037509349281600094
7164,7119-PR,2,-0.030703695109496065,0.004125647066832238
7164,7179,2,-0.030637750147171454,0.0042002155077288765
7179,7179,3,-0.030517284263051607,0.004334060023953352
7179,7164,3,-0.030379759551014116,0.004528843680601366
7164,68025,4,0.029984256865506636,0.005089555778543
68025,7179,3,-0.029080925754202888,0.006571488167946396
7179,68025,5,-0.02865892545604398,0.007401793117556431
68025,7179,4,-0.028648833466182702,0.00741927390107916
50240,68025,6,0.028621724399677164,0.00748585127574145
68025,7119-PR,3,0.02779216597928045,0.009403513946496002
7179,7119-PR,3,-0.027302641631119413,0.010728792009383455
50240,7164,6,0.027073625607785038,0.011429796038479878
7164,7179,3,-0.02700095209767372,0.011638543537072246
50240,50240,2,0.026308470077961436,0.013947454961892682
7119-PR,7179,4,-0.025988631117951355,0.015152493880340439
7164,7179,6,0.025487119674405173,0.017258756170399424
7119-PR,50240,6,-0.02531696433660378,0.018018075803001837
7164,68025,5,0.024802351623524888,0.020509830534338018
7179,50240,5,-0.02419192079351444,0.02378246587787584
68025,68025,6,0.022842836931563967,0.032809769511865566
68025,7164,3,-0.02130858423116373,0.04650473536886624
