source_station,target_station,lag_hour,effect_size,p_value
7119-PR,7119-PR,1,0.7963391476422367,0.0
7179,7179,1,0.7919144474315766,0.0
68025,68025,1,0.7702954098971951,0.0
7164,7164,1,0.7660805420134865,0.0
50240,50240,1,0.7000432933421106,0.0
7179,7179,2,-0.16145275922152558,4.189754990668314e-52
7119-PR,7119-PR,2,-0.15480089616944426,5.959650286471777e-48
50240,7164,1,0.1454130573473042,1.8264801521024676e-42
7179,50240,1,0.1332531909586635,6.808021613010073e-36
7179,7119-PR,1,0.1320820343667095,2.756957105772753e-35
50240,68025,1,0.12954098003749054,5.430016710261099e-34
7164,7164,2,-0.12867033229345512,1.5206793086004298e-33
7179,7164,1,0.1258942501611481,3.512870894171574e-32
7179,68025,1,0.12468886492617424,1.3428056781982869e-31
50240,7119-PR,1,0.11709034356282316,4.958615213679634e-28
68025,68025,3,-0.1121515035491794,7.582591288474713e-26
7119-PR,7179,1,0.11056575047218815,3.663439172861546e-25
