event_sample_id,station_id,anchor_time,window_start,window_end,target_class,split_group_id,sample_type,flow_t_minus_3,flow_t_minus_2,flow_t_minus_1,flow_t0,flow_t_plus_1,flow_t_plus_2,flow_t_plus_3
INCIDENT__240340.0-webtirf__100001,100001,2025-06-27 00:00:00,2025-06-26 21:00:00,2025-06-27 03:00:00,ACCIDENT,GROUP__100001__0001,INCIDENT,646.0,471.0,288.0,178.0,123.0,86.0,152.0
INCIDENT__247639-webtirf__100001,100001,2025-08-29 05:00:00,2025-08-29 02:00:00,2025-08-29 08:00:00,ACCIDENT,GROUP__100001__0002,INCIDENT,93.0,117.0,226.0,481.0,875.0,1063.0,1164.0
INCIDENT__250888-webtirf__100001,100001,2025-09-27 13:00:00,2025-09-27 10:00:00,2025-09-27 16:00:00,ACCIDENT,GROUP__100001__0003,INCIDENT,118.0,88.0,117.0,108.0,81.0,86.0,76.0
INCIDENT__219957-webtirf__10011,10011,2025-01-08 19:00:00,2025-01-08 16:00:00,2025-01-08 22:00:00,ACCIDENT,GROUP__10011__0001,INCIDENT,1576.0,1732.0,1482.0,871.0,729.0,749.0,521.0
INCIDENT__221139-webtirf__10011,10011,2025-01-17 21:00:00,2025-01-17 18:00:00,2025-01-18 00:00:00,OTHER_DISRUPTION,GROUP__10011__0002,INCIDENT,98.0,41.0,37.0,30.0,21.0,12.0,11.0
INCIDENT__221259-webtirf__10011,10011,2025-01-18 23:00:00,2025-01-18 20:00:00,2025-01-19 02:00:00,ACCIDENT,GROUP__10011__0003,INCIDENT,49.0,26.0,25.0,22.0,910.0,598.0,438.0
INCIDENT__222066-webtirf__10011,10011,2025-01-28 05:00:00,2025-01-28 02:00:00,2025-01-28 08:00:00,OTHER_DISRUPTION,GROUP__10011__0004,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__223065-webtirf__10011,10011,2025-02-06 20:00:00,2025-02-06 17:00:00,2025-02-06 23:00:00,ACCIDENT,GROUP__10011__0005,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__223348-webtirf__10011,10011,2025-02-09 21:00:00,2025-02-09 18:00:00,2025-02-10 00:00:00,OTHER_DISRUPTION,GROUP__10011__0006,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__225542-webtirf__10011,10011,2025-03-03 19:00:00,2025-03-03 16:00:00,2025-03-03 22:00:00,OTHER_DISRUPTION,GROUP__10011__0007,INCIDENT,0.0,15.0,12.0,11.0,4.0,6.0,5.0
INCIDENT__227604-webtirf__10011,10011,2025-03-16 00:00:00,2025-03-15 21:00:00,2025-03-16 03:00:00,OTHER_DISRUPTION,GROUP__10011__0008,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__227875-webtirf__10011,10011,2025-03-18 12:00:00,2025-03-18 09:00:00,2025-03-18 15:00:00,OTHER_DISRUPTION,GROUP__10011__0009,INCIDENT,277.0,307.0,355.0,313.0,345.0,350.0,435.0
INCIDENT__227942-webtirf__10011,10011,2025-03-19 02:00:00,2025-03-18 23:00:00,2025-03-19 05:00:00,OTHER_DISRUPTION,GROUP__10011__0010,INCIDENT,0.0,24.0,18.0,12.0,15.0,17.0,127.0
INCIDENT__229247-webtirf__10011,10011,2025-03-28 07:00:00,2025-03-28 04:00:00,2025-03-28 10:00:00,OTHER_DISRUPTION,GROUP__10011__0011,INCIDENT,25.0,95.0,356.0,313.0,242.0,289.0,247.0
INCIDENT__229624-webtirf__10011,10011,2025-03-30 16:00:00,2025-03-30 13:00:00,2025-03-30 19:00:00,OTHER_DISRUPTION,GROUP__10011__0012,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__230250.0-webtirf__10011,10011,2025-04-03 08:00:00,2025-04-03 05:00:00,2025-04-03 11:00:00,ACCIDENT,GROUP__10011__0013,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__230436-webtirf__10011,10011,2025-04-05 01:00:00,2025-04-04 22:00:00,2025-04-05 04:00:00,OTHER_DISRUPTION,GROUP__10011__0014,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
