event_sample_id,split_group_id,station_id,target_class,split
INCIDENT__240340.0-webtirf__100001,GROUP__100001__0001,100001,ACCIDENT,train
INCIDENT__247639-webtirf__100001,GROUP__100001__0002,100001,ACCIDENT,validation
INCIDENT__250888-webtirf__100001,GROUP__100001__0003,100001,ACCIDENT,train
INCIDENT__219957-webtirf__10011,GROUP__10011__0001,10011,ACCIDENT,train
INCIDENT__221139-webtirf__10011,GROUP__10011__0002,10011,OTHER_DISRUPTION,test
INCIDENT__221259-webtirf__10011,GROUP__10011__0003,10011,ACCIDENT,test
INCIDENT__222066-webtirf__10011,GROUP__10011__0004,10011,OTHER_DISRUPTION,train
INCIDENT__223065-webtirf__10011,GROUP__10011__0005,10011,ACCIDENT,train
INCIDENT__223348-webtirf__10011,GROUP__10011__0006,10011,OTHER_DISRUPTION,train
INCIDENT__225542-webtirf__10011,GROUP__10011__0007,10011,OTHER_DISRUPTION,train
INCIDENT__227604-webtirf__10011,GROUP__10011__0008,10011,OTHER_DISRUPTION,test
INCIDENT__227875-webtirf__10011,GROUP__10011__0009,10011,OTHER_DISRUPTION,train
INCIDENT__227942-webtirf__10011,GROUP__10011__0010,10011,OTHER_DISRUPTION,train
INCIDENT__229247-webtirf__10011,GROUP__10011__0011,10011,OTHER_DISRUPTION,validation
INCIDENT__229624-webtirf__10011,GROUP__10011__0012,10011,OTHER_DISRUPTION,train
INCIDENT__230250.0-webtirf__10011,GROUP__10011__0013,10011,ACCIDENT,train
INCIDENT__230436-webtirf__10011,GROUP__10011__0014,10011,OTHER_DISRUPTION,test
INCIDENT__230746-webtirf__10011,GROUP__10011__0015,10011,OTHER_DISRUPTION,train
INCIDENT__231592-webtirf__10011,GROUP__10011__0016,10011,OTHER_DISRUPTION,test
INCIDENT__232619-webtirf__10011,GROUP__10011__0017,10011,OTHER_DISRUPTION,train
INCIDENT__234658-webtirf__10011,GROUP__10011__0018,10011,OTHER_DISRUPTION,train
INCIDENT__236245-webtirf__10011,GROUP__10011__0019,10011,OTHER_DISRUPTION,train
INCIDENT__236855-webtirf__10011,GROUP__10011__0020,10011,ACCIDENT,train
INCIDENT__239895-webtirf__10011,GROUP__10011__0021,10011,OTHER_DISRUPTION,train
INCIDENT__241047-webtirf__10011,GROUP__10011__0022,10011,OTHER_DISRUPTION,train
INCIDENT__241285-webtirf__10011,GROUP__10011__0023,10011,OTHER_DISRUPTION,train
INCIDENT__241668-webtirf__10011,GROUP__10011__0024,10011,OTHER_DISRUPTION,train
INCIDENT__241875-webtirf__10011,GROUP__10011__0025,10011,ACCIDENT,validation
INCIDENT__242502-webtirf__10011,GROUP__10011__0026,10011,OTHER_DISRUPTION,train
INCIDENT__243678-webtirf__10011,GROUP__10011__0027,10011,OTHER_DISRUPTION,train
INCIDENT__243850.0-webtirf__10011,GROUP__10011__0028,10011,OTHER_DISRUPTION,train
INCIDENT__243928-webtirf__10011,GROUP__10011__0028,10011,OTHER_DISRUPTION,train
INCIDENT__245534-webtirf__10011,GROUP__10011__0029,10011,OTHER_DISRUPTION,test
INCIDENT__245981-webtirf__10011,GROUP__10011__0030,10011,OTHER_DISRUPTION,train
INCIDENT__247611-webtirf__10011,GROUP__10011__0031,10011,OTHER_DISRUPTION,train
INCIDENT__250287-webtirf__10011,GROUP__10011__0032,10011,ACCIDENT,train
INCIDENT__252263-webtirf__10011,GROUP__10011__0033,10011,ACCIDENT,train
INCIDENT__252661-webtirf__10011,GROUP__10011__0034,10011,ACCIDENT,train
INCIDENT__252747-webtirf__10011,GROUP__10011__0035,10011,OTHER_DISRUPTION,train
