event_sample_id,split_group_id,station_id,target_class,split
INCIDENT__219427-webtirf__7120,GROUP__7120__0001,7120,OTHER_DISRUPTION,train
INCIDENT__219427-webtirf__7121,GROUP__7121__0001,7121,OTHER_DISRUPTION,validation
INCIDENT__219440.0-webtirf__7168,GROUP__7168__0001,7168,OTHER_DISRUPTION,train
INCIDENT__219468-webtirf__F3FWY003,GROUP__F3FWY003__0001,F3FWY003,ACCIDENT,test
INCIDENT__219481-webtirf__7179,GROUP__7179__0001,7179,OTHER_DISRUPTION,train
INCIDENT__219564-webtirf__33014,GROUP__33014__0001,33014,OTHER_DISRUPTION,test
INCIDENT__219601-webtirf__7123-PR,GROUP__7123-PR__0001,7123-PR,OTHER_DISRUPTION,train
INCIDENT__219613-webtirf__22001,GROUP__22001__0001,22001,OTHER_DISRUPTION,test
INCIDENT__219630.0-webtirf__68025,GROUP__68025__0001,68025,OTHER_DISRUPTION,train
INCIDENT__219630.0-webtirf__7164,GROUP__7164__0001,7164,OTHER_DISRUPTION,train
INCIDENT__219630.0-webtirf__7179,GROUP__7179__0002,7179,OTHER_DISRUPTION,train
INCIDENT__219650.0-webtirf__F3FWY003,GROUP__F3FWY003__0003,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__219653-webtirf__9836-PR,GROUP__9836-PR__0001,9836-PR,ACCIDENT,train
INCIDENT__219663-webtirf__7248,GROUP__7248__0001,7248,OTHER_DISRUPTION,train
INCIDENT__219668-webtirf__7163,GROUP__7163__0001,7163,OTHER_DISRUPTION,train
INCIDENT__219670.0-webtirf__23067,GROUP__23067__0001,23067,OTHER_DISRUPTION,train
INCIDENT__219694-webtirf__7179,GROUP__7179__0003,7179,OTHER_DISRUPTION,train
INCIDENT__219711-webtirf__33014,GROUP__33014__0002,33014,OTHER_DISRUPTION,test
INCIDENT__219761-webtirf__7163,GROUP__7163__0002,7163,OTHER_DISRUPTION,train
INCIDENT__219783-webtirf__7112,GROUP__7112__0001,7112,ACCIDENT,train
INCIDENT__219796-webtirf__51235,GROUP__51235__0001,51235,ACCIDENT,train
INCIDENT__219807-webtirf__23067,GROUP__23067__0002,23067,OTHER_DISRUPTION,train
INCIDENT__219811-webtirf__50240,GROUP__50240__0001,50240,OTHER_DISRUPTION,validation
INCIDENT__219833-webtirf__7248,GROUP__7248__0002,7248,OTHER_DISRUPTION,train
INCIDENT__219844-webtirf__9827,GROUP__9827__0001,9827,OTHER_DISRUPTION,train
INCIDENT__219890.0-webtirf__7164,GROUP__7164__0002,7164,OTHER_DISRUPTION,train
INCIDENT__219896-webtirf__F3FWY006,GROUP__F3FWY006__0001,F3FWY006,ACCIDENT,validation
INCIDENT__219914-webtirf__7184,GROUP__7184__0001,7184,OTHER_DISRUPTION,train
INCIDENT__219932-webtirf__7120,GROUP__7120__0002,7120,ACCIDENT,train
INCIDENT__219932-webtirf__7121,GROUP__7121__0002,7121,ACCIDENT,validation
INCIDENT__219943-webtirf__7184,GROUP__7184__0002,7184,OTHER_DISRUPTION,train
INCIDENT__219947-webtirf__F3FWY003,GROUP__F3FWY003__0004,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__219957-webtirf__10011,GROUP__10011__0001,10011,ACCIDENT,train
INCIDENT__219957-webtirf__7139,GROUP__7139__0001,7139,ACCIDENT,train
INCIDENT__219979-webtirf__7251,GROUP__7251__0001,7251,OTHER_DISRUPTION,train
INCIDENT__220005-webtirf__68025,GROUP__68025__0002,68025,OTHER_DISRUPTION,train
INCIDENT__220025-webtirf__68025,GROUP__68025__0002,68025,OTHER_DISRUPTION,train
INCIDENT__220081-webtirf__7120,GROUP__7120__0003,7120,OTHER_DISRUPTION,train
INCIDENT__220081-webtirf__7121,GROUP__7121__0003,7121,OTHER_DISRUPTION,validation
INCIDENT__220084-webtirf__7179,GROUP__7179__0004,7179,OTHER_DISRUPTION,train
INCIDENT__220088-webtirf__74230,GROUP__74230__0001,74230,OTHER_DISRUPTION,test
INCIDENT__220110.0-webtirf__53004,GROUP__53004__0001,53004,ACCIDENT,train
INCIDENT__220170.0-webtirf__7126,GROUP__7126__0001,7126,ACCIDENT,train
INCIDENT__220181-webtirf__7184,GROUP__7184__0003,7184,OTHER_DISRUPTION,train
INCIDENT__220188-webtirf__7184,GROUP__7184__0003,7184,OTHER_DISRUPTION,train
INCIDENT__220200.0-webtirf__7179,GROUP__7179__0005,7179,OTHER_DISRUPTION,train
INCIDENT__220216-webtirf__68025,GROUP__68025__0003,68025,OTHER_DISRUPTION,train
INCIDENT__220217-webtirf__50240,GROUP__50240__0002,50240,OTHER_DISRUPTION,validation
INCIDENT__220247-webtirf__50260,GROUP__50260__0001,50260,ACCIDENT,train
INCIDENT__220287-webtirf__51235,GROUP__51235__0002,51235,OTHER_DISRUPTION,train
INCIDENT__220319-webtirf__7126,GROUP__7126__0002,7126,OTHER_DISRUPTION,train
INCIDENT__220326-webtirf__51235,GROUP__51235__0003,51235,OTHER_DISRUPTION,train
INCIDENT__220419-webtirf__7119-PR,GROUP__7119-PR__0001,7119-PR,OTHER_DISRUPTION,validation
INCIDENT__220424-webtirf__7179,GROUP__7179__0006,7179,ACCIDENT,train
INCIDENT__220429-webtirf__7119-PR,GROUP__7119-PR__0001,7119-PR,OTHER_DISRUPTION,validation
INCIDENT__220471-webtirf__7120,GROUP__7120__0004,7120,OTHER_DISRUPTION,train
INCIDENT__220471-webtirf__7121,GROUP__7121__0004,7121,OTHER_DISRUPTION,validation
INCIDENT__220489-webtirf__50240,GROUP__50240__0003,50240,OTHER_DISRUPTION,validation
INCIDENT__220572-webtirf__7161,GROUP__7161__0001,7161,OTHER_DISRUPTION,validation
INCIDENT__220582-webtirf__53003,GROUP__53003__0001,53003,OTHER_DISRUPTION,train
INCIDENT__220591-webtirf__50250,GROUP__50250__0001,50250,OTHER_DISRUPTION,train
INCIDENT__220608-webtirf__53004,GROUP__53004__0002,53004,ACCIDENT,train
INCIDENT__220664-webtirf__7248,GROUP__7248__0003,7248,ACCIDENT,train
INCIDENT__220679-webtirf__7251,GROUP__7251__0002,7251,OTHER_DISRUPTION,train
INCIDENT__220680.0-webtirf__T0085,GROUP__T0085__0001,T0085,OTHER_DISRUPTION,train
INCIDENT__220763-webtirf__7184,GROUP__7184__0004,7184,OTHER_DISRUPTION,train
INCIDENT__220800.0-webtirf__7184,GROUP__7184__0004,7184,OTHER_DISRUPTION,train
INCIDENT__220873-webtirf__T0085,GROUP__T0085__0002,T0085,OTHER_DISRUPTION,train
INCIDENT__220876-webtirf__T0231,GROUP__T0231__0001,T0231,ACCIDENT,test
INCIDENT__220930.0-webtirf__F3FWY001,GROUP__F3FWY001__0001,F3FWY001,ACCIDENT,train
INCIDENT__220938-webtirf__53003,GROUP__53003__0002,53003,OTHER_DISRUPTION,train
INCIDENT__220944-webtirf__51235,GROUP__51235__0004,51235,OTHER_DISRUPTION,train
INCIDENT__220993-webtirf__7132,GROUP__7132__0001,7132,OTHER_DISRUPTION,validation
INCIDENT__221020.0-webtirf__F3FWY001,GROUP__F3FWY001__0001,F3FWY001,ACCIDENT,train
INCIDENT__221032-webtirf__F3FWY003,GROUP__F3FWY003__0005,F3FWY003,OTHER_DISRUPTION,test
INCIDENT__221068-webtirf__7120,GROUP__7120__0005,7120,OTHER_DISRUPTION,train
INCIDENT__221068-webtirf__7121,GROUP__7121__0005,7121,OTHER_DISRUPTION,validation
INCIDENT__221135-webtirf__47024,GROUP__47024__0001,47024,OTHER_DISRUPTION,train
INCIDENT__221139-webtirf__10011,GROUP__10011__0002,10011,OTHER_DISRUPTION,train
INCIDENT__221139-webtirf__7139,GROUP__7139__0002,7139,OTHER_DISRUPTION,train
INCIDENT__221167-webtirf__7132,GROUP__7132__0002,7132,ACCIDENT,validation
INCIDENT__221180.0-webtirf__7251,GROUP__7251__0003,7251,OTHER_DISRUPTION,train
INCIDENT__221218-webtirf__7112,GROUP__7112__0002,7112,OTHER_DISRUPTION,train
INCIDENT__221220.0-webtirf__68025,GROUP__68025__0004,68025,OTHER_DISRUPTION,train
INCIDENT__221259-webtirf__10011,GROUP__10011__0003,10011,ACCIDENT,train
INCIDENT__221259-webtirf__7139,GROUP__7139__0003,7139,ACCIDENT,train
INCIDENT__221277-webtirf__53004,GROUP__53004__0003,53004,OTHER_DISRUPTION,train
INCIDENT__221287-webtirf__7153,GROUP__7153__0001,7153,ACCIDENT,train
INCIDENT__221291-webtirf__7112,GROUP__7112__0003,7112,OTHER_DISRUPTION,train
INCIDENT__221341-webtirf__7120,GROUP__7120__0006,7120,OTHER_DISRUPTION,train
INCIDENT__221341-webtirf__7121,GROUP__7121__0006,7121,OTHER_DISRUPTION,validation
INCIDENT__221362-webtirf__7248,GROUP__7248__0004,7248,OTHER_DISRUPTION,train
INCIDENT__221414-webtirf__29005,GROUP__29005__0001,29005,OTHER_DISRUPTION,test
INCIDENT__221452-webtirf__51235,GROUP__51235__0005,51235,OTHER_DISRUPTION,train
INCIDENT__221466-webtirf__7251,GROUP__7251__0004,7251,OTHER_DISRUPTION,train
INCIDENT__221498-webtirf__23067,GROUP__23067__0003,23067,OTHER_DISRUPTION,train
INCIDENT__221501-webtirf__7126,GROUP__7126__0003,7126,ACCIDENT,train
INCIDENT__221512-webtirf__7163,GROUP__7163__0003,7163,OTHER_DISRUPTION,train
INCIDENT__221520.0-webtirf__7112,GROUP__7112__0004,7112,ACCIDENT,train
INCIDENT__221530.0-webtirf__34016,GROUP__34016__0001,34016,OTHER_DISRUPTION,train
INCIDENT__221572-webtirf__7120,GROUP__7120__0007,7120,OTHER_DISRUPTION,train
INCIDENT__221572-webtirf__7121,GROUP__7121__0007,7121,OTHER_DISRUPTION,validation
INCIDENT__221578-webtirf__7274,GROUP__7274__0001,7274,ACCIDENT,train
INCIDENT__221662-webtirf__F3FWY004,GROUP__F3FWY004__0001,F3FWY004,OTHER_DISRUPTION,train
INCIDENT__221723-webtirf__51235,GROUP__51235__0006,51235,OTHER_DISRUPTION,train
INCIDENT__221731-webtirf__7153,GROUP__7153__0002,7153,OTHER_DISRUPTION,train
INCIDENT__221767-webtirf__F3FWY002,GROUP__F3FWY002__0001,F3FWY002,ACCIDENT,test
INCIDENT__221794-webtirf__23067,GROUP__23067__0004,23067,OTHER_DISRUPTION,train
INCIDENT__221798-webtirf__7248,GROUP__7248__0005,7248,OTHER_DISRUPTION,train
INCIDENT__221804-webtirf__7274,GROUP__7274__0002,7274,OTHER_DISRUPTION,train
INCIDENT__221825-webtirf__7112,GROUP__7112__0005,7112,ACCIDENT,train
INCIDENT__221850.0-webtirf__F3FWY006,GROUP__F3FWY006__0002,F3FWY006,OTHER_DISRUPTION,validation
INCIDENT__221908-webtirf__7161,GROUP__7161__0002,7161,OTHER_DISRUPTION,validation
INCIDENT__221928-webtirf__7132,GROUP__7132__0003,7132,ACCIDENT,validation
INCIDENT__221930.0-webtirf__7159,GROUP__7159__0001,7159,OTHER_DISRUPTION,train
INCIDENT__221949-webtirf__7184,GROUP__7184__0005,7184,OTHER_DISRUPTION,train
INCIDENT__221952-webtirf__55049,GROUP__55049__0001,55049,ACCIDENT,validation
INCIDENT__221973-webtirf__F3FWY005,GROUP__F3FWY005__0001,F3FWY005,OTHER_DISRUPTION,train
INCIDENT__222011-webtirf__33014,GROUP__33014__0003,33014,OTHER_DISRUPTION,test
INCIDENT__222027-webtirf__7179,GROUP__7179__0007,7179,OTHER_DISRUPTION,train
INCIDENT__222057-webtirf__7120,GROUP__7120__0008,7120,OTHER_DISRUPTION,train
INCIDENT__222057-webtirf__7121,GROUP__7121__0008,7121,OTHER_DISRUPTION,validation
INCIDENT__222064-webtirf__53004,GROUP__53004__0004,53004,OTHER_DISRUPTION,train
INCIDENT__222066-webtirf__10011,GROUP__10011__0004,10011,OTHER_DISRUPTION,train
INCIDENT__222066-webtirf__7139,GROUP__7139__0004,7139,OTHER_DISRUPTION,train
INCIDENT__222140.0-webtirf__7132,GROUP__7132__0004,7132,OTHER_DISRUPTION,validation
INCIDENT__222182-webtirf__7120,GROUP__7120__0009,7120,OTHER_DISRUPTION,train
INCIDENT__222182-webtirf__7121,GROUP__7121__0009,7121,OTHER_DISRUPTION,validation
INCIDENT__222186-webtirf__7248,GROUP__7248__0006,7248,OTHER_DISRUPTION,train
INCIDENT__222221-webtirf__7123-PR,GROUP__7123-PR__0002,7123-PR,OTHER_DISRUPTION,train
