split_scheme,seed,feature_level,partition,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,best_val_macro_f1
Grouped-random,42,A,train,0.36797829036635005,0.34955369438858774,0.3607720357569684,0.31321261378920834,0.3607720357569684,
Grouped-random,42,A,validation,0.31887755102040816,0.3320963147024754,0.3217946705790031,0.2781705348610923,0.3217946705790031,0.2781705348610923
Grouped-random,42,A,test,0.35050251256281406,0.35073510982011963,0.39420383097939493,0.3156966748080574,0.39420383097939493,
Grouped-random,52,A,train,0.37883310719131613,0.3491363715208388,0.3590961405675211,0.31861256058977955,0.3590961405675211,
Grouped-random,52,A,validation,0.36096938775510207,0.34529791529251863,0.3526652791520238,0.3097394382370268,0.3526652791520238,0.3097394382370268
Grouped-random,52,A,test,0.4057788944723618,0.3618412319129165,0.38196055452313044,0.3395933644231797,0.38196055452313044,
Grouped-random,62,A,train,0.42740841248303935,0.35301421309744613,0.36224879010413663,0.33812586962853386,0.36224879010413663,
Grouped-random,62,A,validation,0.3852040816326531,0.3296826893948346,0.33230065850080176,0.3075325753978848,0.33230065850080176,0.3075325753978848
Grouped-random,62,A,test,0.4296482412060301,0.35437291036603497,0.3691116234441976,0.34087379660270994,0.3691116234441976,
Grouped-random,42,B,train,0.37829036635006785,0.35622369693823286,0.3807607102427215,0.32575825186456303,0.3807607102427215,
Grouped-random,42,B,validation,0.36096938775510207,0.31572119546750577,0.31127389766510855,0.289983326669441,0.31127389766510855,0.289983326669441
Grouped-random,42,B,test,0.35050251256281406,0.33583834553308095,0.3565456930669704,0.3041848205088834,0.3565456930669704,
Grouped-random,52,B,train,0.33704206241519674,0.3556269196968791,0.38236237090740094,0.3068750098928073,0.38236237090740094,
Grouped-random,52,B,validation,0.3227040816326531,0.3523783939537648,0.3665856904022655,0.2953562300538461,0.3665856904022655,0.2953562300538461
Grouped-random,52,B,test,0.3228643216080402,0.3434090493877027,0.37383941881444976,0.29585276262951293,0.37383941881444976,
Grouped-random,62,B,train,0.30583446404341924,0.3533169265459075,0.3754766007218227,0.28680198197186474,0.3754766007218227,
Grouped-random,62,B,validation,0.288265306122449,0.3508859357696567,0.3616518248092167,0.27296765151057284,0.3616518248092167,0.27296765151057284
Grouped-random,62,B,test,0.27638190954773867,0.3282615183647219,0.34267571459287227,0.2591666503431209,0.34267571459287227,
Grouped-random,42,C,train,0.35712347354138396,0.35134491917465066,0.3804593328149166,0.3157884440309224,0.3804593328149166,
Grouped-random,42,C,validation,0.36096938775510207,0.3403636318360657,0.33735530610620174,0.3048873897655655,0.33735530610620174,0.3048873897655655
Grouped-random,42,C,test,0.3542713567839196,0.35249814490214826,0.3866262019824586,0.31675218573946856,0.3866262019824586,
Grouped-random,52,C,train,0.36282225237449117,0.3568249752010435,0.37517131664805853,0.3179034429985057,0.37517131664805853,
Grouped-random,52,C,validation,0.3596938775510204,0.34312444836716677,0.35538981200313896,0.31055849105064964,0.35538981200313896,0.31055849105064964
Grouped-random,52,C,test,0.3592964824120603,0.3455365630991924,0.36981480106550313,0.31395915454886064,0.36981480106550313,
Grouped-random,62,C,train,0.30719131614654005,0.34649011119599354,0.36665029927786924,0.2852467722403349,0.36665029927786924,
Grouped-random,62,C,validation,0.31760204081632654,0.34418071162366176,0.33950140457424904,0.28411510089381964,0.33950140457424904,0.28411510089381964
Grouped-random,62,C,test,0.29396984924623115,0.3307617385259404,0.3556139344172555,0.2732634857706569,0.3556139344172555,
Grouped-random,42,D,train,0.41926729986431477,0.3588038790405322,0.3744658126945805,0.3392429139568372,0.3744658126945805,
Grouped-random,42,D,validation,0.4362244897959184,0.352209822710545,0.34838081590410225,0.3342161146873169,0.34838081590410225,0.3342161146873169
Grouped-random,42,D,test,0.38190954773869346,0.3237473775123171,0.3347610792336643,0.3015986608392091,0.3347610792336643,
Grouped-random,52,D,train,0.4244233378561737,0.3961813763510631,0.43546652797477564,0.3722767489346123,0.43546652797477564,
Grouped-random,52,D,validation,0.3737244897959184,0.3482248382500642,0.36533374276388364,0.32111360944533557,0.36533374276388364,0.32111360944533557
Grouped-random,52,D,test,0.3869346733668342,0.35456147604589794,0.38113091901349777,0.3320358996394385,0.38113091901349777,
Grouped-random,62,D,train,0.3633649932157395,0.34754701441412966,0.36017763512759227,0.31205127295997176,0.36017763512759227,
Grouped-random,62,D,validation,0.336734693877551,0.3272453292071777,0.32819429754227936,0.28901118620266214,0.32819429754227936,0.28901118620266214
Grouped-random,62,D,test,0.31532663316582915,0.320726565702394,0.3215012175194363,0.27410517472986506,0.3215012175194363,
Spatial,42,A,train,0.37780178233864437,0.34607516248329956,0.3585825798594533,0.3175080337880574,0.3585825798594533,
Spatial,42,A,validation,0.36228287841191065,0.3274547697602119,0.3290934597198219,0.2998601091925024,0.3290934597198219,0.2998601091925024
Spatial,42,A,test,0.4695767195767196,0.3545586003314476,0.3683944103396461,0.34734388633574315,0.3683944103396461,
Spatial,52,A,train,0.4968944099378882,0.34682148808516106,0.3537642398644072,0.3450426506013005,0.3537642398644072,
Spatial,52,A,validation,0.4801488833746898,0.32858756126713334,0.333741201503923,0.3259387471855159,0.333741201503923,0.3259387471855159
Spatial,52,A,test,0.5568783068783069,0.3437267692835031,0.3444053902166802,0.3356450319139066,0.3444053902166802,
Spatial,62,A,train,0.307048339184445,0.34943491544140864,0.3597611171984396,0.27420689769372686,0.3597611171984396,
Spatial,62,A,validation,0.32878411910669975,0.3796512447685941,0.3771131055789447,0.28986091707154327,0.3771131055789447,0.28986091707154327
Spatial,62,A,test,0.30158730158730157,0.359392771216098,0.38540923924913223,0.2759881006743598,0.38540923924913223,
Spatial,42,B,train,0.36997029435592765,0.3496529095976341,0.37633811503486186,0.32120018105020814,0.37633811503486186,
Spatial,42,B,validation,0.3771712158808933,0.35490318145041266,0.37467103564421866,0.3253224600016287,0.37467103564421866,0.3253224600016287
Spatial,42,B,test,0.4126984126984127,0.3667419300659039,0.4001227144242085,0.35194197603005833,0.4001227144242085,
Spatial,52,B,train,0.3572778827977316,0.3570670220447374,0.3798504463595676,0.3166072389593502,0.3798504463595676,
Spatial,52,B,validation,0.3436724565756824,0.36192219599615355,0.397166958215949,0.3161825134877361,0.397166958215949,0.3161825134877361
Spatial,52,B,test,0.36507936507936506,0.3582446018008567,0.38316188405136725,0.32244776616929544,0.38316188405136725,
Spatial,62,B,train,0.29678638941398866,0.34566326446043844,0.36856198217156955,0.27840652986325404,0.36856198217156955,
Spatial,62,B,validation,0.2729528535980149,0.34413762875301335,0.3729914310081088,0.26682828576620826,0.3729914310081088,0.26682828576620826
Spatial,62,B,test,0.3333333333333333,0.35598108726728683,0.36395966922099127,0.2983187090861767,0.36395966922099127,
Spatial,42,C,train,0.35187685660275453,0.3473884331069536,0.3694535181896628,0.3097488897914055,0.3694535181896628,
Spatial,42,C,validation,0.3362282878411911,0.34279495619952155,0.34995389861304765,0.2967489629481214,0.34995389861304765,0.2967489629481214
Spatial,42,C,test,0.35978835978835977,0.34537860997816505,0.36827064841715157,0.3111446143152217,0.36827064841715157,
Spatial,52,C,train,0.3615987037537132,0.35463127310872444,0.3812419447850677,0.31891648811615453,0.3812419447850677,
Spatial,52,C,validation,0.3883374689826303,0.359972906197602,0.381331044057283,0.33395510730342504,0.381331044057283,0.33395510730342504
Spatial,52,C,test,0.3968253968253968,0.3435541068918002,0.3512746744768139,0.32233758888170655,0.3512746744768139,
Spatial,62,C,train,0.2738320280853362,0.34298242411359764,0.36430390539337304,0.26280043207174536,0.36430390539337304,
Spatial,62,C,validation,0.2890818858560794,0.34563330191255187,0.3756287863176899,0.27283251411053844,0.3756287863176899,0.27283251411053844
Spatial,62,C,test,0.29365079365079366,0.332627670856694,0.3445421934928359,0.26829681200591393,0.3445421934928359,
Spatial,42,D,train,0.3934647583040778,0.34714336749554014,0.35861998162733566,0.3215669401976637,0.35861998162733566,
Spatial,42,D,validation,0.3870967741935484,0.35639732834075905,0.359113635030436,0.32454497845318014,0.359113635030436,0.32454497845318014
Spatial,42,D,test,0.4246031746031746,0.36602303580256507,0.38803605070101205,0.34434510327507967,0.38803605070101205,
Spatial,52,D,train,0.391304347826087,0.371350372956114,0.3959400762614414,0.3394142870748477,0.3959400762614414,
Spatial,52,D,validation,0.4032258064516129,0.34646712745615815,0.33508776811629076,0.3203877982493008,0.33508776811629076,0.3203877982493008
Spatial,52,D,test,0.4497354497354497,0.3532213290350134,0.35461378476319466,0.34045477188995193,0.35461378476319466,
Spatial,62,D,train,0.3283823926546044,0.34024081120855526,0.35263455381408343,0.29176310844395953,0.35263455381408343,
Spatial,62,D,validation,0.3362282878411911,0.33273855365491206,0.3382014292182017,0.28985199420270025,0.3382014292182017,0.28985199420270025
Spatial,62,D,test,0.3531746031746032,0.36184661810938956,0.39063520819814057,0.3184122668215532,0.39063520819814057,
