split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,42,A,train,NORMAL,0.6814749000444247,0.6111553784860557,0.6444024364629279,2510.0
Grouped-random,42,A,train,ACCIDENT,0.10979462875197472,0.39488636363636365,0.17181705809641531,352.0
Grouped-random,42,A,train,OTHER_DISRUPTION,0.24404761904761904,0.04981773997569866,0.08274470232088799,823.0
Grouped-random,42,A,validation,NORMAL,0.6836283185840708,0.5830188679245283,0.6293279022403259,530.0
Grouped-random,42,A,validation,ACCIDENT,0.09246575342465753,0.34177215189873417,0.14555256064690028,79.0
Grouped-random,42,A,validation,OTHER_DISRUPTION,0.25,0.05714285714285714,0.09302325581395349,175.0
Grouped-random,42,A,test,NORMAL,0.6735966735966736,0.5988909426987061,0.6340508806262231,541.0
Grouped-random,42,A,test,ACCIDENT,0.13309352517985612,0.5,0.21022727272727273,74.0
Grouped-random,42,A,test,OTHER_DISRUPTION,0.13513513513513514,0.027624309392265192,0.045871559633027525,181.0
Grouped-random,52,A,train,NORMAL,0.6893564356435643,0.4438247011952191,0.5399903053805138,2510.0
Grouped-random,52,A,train,ACCIDENT,0.1279527559055118,0.1846590909090909,0.1511627906976744,352.0
Grouped-random,52,A,train,OTHER_DISRUPTION,0.2395900064061499,0.45443499392466585,0.313758389261745,823.0
Grouped-random,52,A,validation,NORMAL,0.670846394984326,0.4037735849056604,0.5041224970553593,530.0
Grouped-random,52,A,validation,ACCIDENT,0.10084033613445378,0.1518987341772152,0.12121212121212122,79.0
Grouped-random,52,A,validation,OTHER_DISRUPTION,0.22254335260115607,0.44,0.29558541266794625,175.0
Grouped-random,52,A,test,NORMAL,0.6976744186046512,0.4436229205175601,0.5423728813559322,541.0
Grouped-random,52,A,test,ACCIDENT,0.13725490196078433,0.1891891891891892,0.1590909090909091,74.0
Grouped-random,52,A,test,OTHER_DISRUPTION,0.2742857142857143,0.5303867403314917,0.3615819209039548,181.0
Grouped-random,62,A,train,NORMAL,0.6859946476360392,0.30637450199203187,0.42357477278986505,2510.0
Grouped-random,62,A,train,ACCIDENT,0.10987261146496816,0.39204545454545453,0.17164179104477612,352.0
Grouped-random,62,A,train,OTHER_DISRUPTION,0.2408256880733945,0.3827460510328068,0.29563585171281087,823.0
Grouped-random,62,A,validation,NORMAL,0.6789473684210526,0.24339622641509434,0.35833333333333334,530.0
Grouped-random,62,A,validation,ACCIDENT,0.09090909090909091,0.3291139240506329,0.14246575342465753,79.0
Grouped-random,62,A,validation,OTHER_DISRUPTION,0.21428571428571427,0.37714285714285717,0.2732919254658385,175.0
Grouped-random,62,A,test,NORMAL,0.6940639269406392,0.2809611829944547,0.4,541.0
Grouped-random,62,A,test,ACCIDENT,0.13090909090909092,0.4864864864864865,0.20630372492836677,74.0
Grouped-random,62,A,test,OTHER_DISRUPTION,0.26490066225165565,0.4419889502762431,0.33126293995859213,181.0
Grouped-random,42,B,train,NORMAL,0.6887104393008975,0.5808764940239044,0.6302139615301491,2510.0
Grouped-random,42,B,train,ACCIDENT,0.15047619047619049,0.22443181818181818,0.18015963511972635,352.0
Grouped-random,42,B,train,OTHER_DISRUPTION,0.2473633748801534,0.3134872417982989,0.2765273311897106,823.0
Grouped-random,42,B,validation,NORMAL,0.6826086956521739,0.5924528301886792,0.6343434343434343,530.0
Grouped-random,42,B,validation,ACCIDENT,0.10204081632653061,0.12658227848101267,0.11299435028248588,79.0
Grouped-random,42,B,validation,OTHER_DISRUPTION,0.22566371681415928,0.2914285714285714,0.2543640897755611,175.0
Grouped-random,42,B,test,NORMAL,0.6441441441441441,0.5286506469500925,0.5807106598984771,541.0
Grouped-random,42,B,test,ACCIDENT,0.10810810810810811,0.16216216216216217,0.12972972972972974,74.0
Grouped-random,42,B,test,OTHER_DISRUPTION,0.24066390041493776,0.32044198895027626,0.27488151658767773,181.0
Grouped-random,52,B,train,NORMAL,0.7023153252480706,0.25378486055776894,0.37284167398302603,2510.0
Grouped-random,52,B,train,ACCIDENT,0.12223071046600459,0.45454545454545453,0.19265502709211318,352.0
Grouped-random,52,B,train,OTHER_DISRUPTION,0.2532334921715453,0.4520048602673147,0.32460732984293195,823.0
Grouped-random,52,B,validation,NORMAL,0.7142857142857143,0.27358490566037735,0.3956343792633015,530.0
Grouped-random,52,B,validation,ACCIDENT,0.12186379928315412,0.43037974683544306,0.18994413407821228,79.0
Grouped-random,52,B,validation,OTHER_DISRUPTION,0.23509933774834438,0.4057142857142857,0.2976939203354298,175.0
Grouped-random,52,B,test,NORMAL,0.6368159203980099,0.2365988909426987,0.3450134770889488,541.0
Grouped-random,52,B,test,ACCIDENT,0.11469534050179211,0.43243243243243246,0.1813031161473088,74.0
Grouped-random,52,B,test,OTHER_DISRUPTION,0.2626582278481013,0.4585635359116022,0.33400402414486924,181.0
Grouped-random,62,B,train,NORMAL,0.68785151856018,0.48725099601593624,0.570429104477612,2510.0
Grouped-random,62,B,train,ACCIDENT,0.11228813559322035,0.45170454545454547,0.17986425339366516,352.0
Grouped-random,62,B,train,OTHER_DISRUPTION,0.2545824847250509,0.15188335358444716,0.1902587519025875,823.0
Grouped-random,62,B,validation,NORMAL,0.6901408450704225,0.46226415094339623,0.5536723163841808,530.0
Grouped-random,62,B,validation,ACCIDENT,0.10576923076923077,0.4177215189873418,0.16879795396419436,79.0
Grouped-random,62,B,validation,OTHER_DISRUPTION,0.23076923076923078,0.15428571428571428,0.18493150684931506,175.0
Grouped-random,62,B,test,NORMAL,0.6576819407008087,0.4510166358595194,0.5350877192982456,541.0
Grouped-random,62,B,test,ACCIDENT,0.10927152317880795,0.44594594594594594,0.17553191489361702,74.0
