split_scheme,feature_level,class,partition,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
Grouped-random,A,ACCIDENT,test,0.13375250601657712,0.0032238209136555146,0.3918918918918919,0.17567567567567569,0.1918739689155162,0.02845865976166835,74.0
Grouped-random,A,ACCIDENT,train,0.11587333204081822,0.010461160595415691,0.32386363636363635,0.12056304076092583,0.16487387994628863,0.011874474974601847,352.0
Grouped-random,A,ACCIDENT,validation,0.09473839348940073,0.005341449014965905,0.2742616033755274,0.10615819093172255,0.13641014509455968,0.013252058034705392,79.0
Grouped-random,A,NORMAL,test,0.6884450063806548,0.012985131973216853,0.441158348736907,0.15897920811209013,0.5254745873273851,0.11793692354934507,541.0
Grouped-random,A,NORMAL,train,0.6856086611080094,0.003954919727376516,0.45378486055776895,0.15263436457761376,0.5359891715444356,0.11046819028483491,2510.0
Grouped-random,A,NORMAL,validation,0.6778073606631497,0.006466769362942168,0.41006289308176097,0.16989864980176225,0.4972612442096728,0.1356275108052604,530.0
Grouped-random,A,OTHER_DISRUPTION,test,0.22477383722416835,0.0777710902879427,0.3333333333333333,0.26841581140259485,0.24623880683185817,0.17418405628506672,181.0
Grouped-random,A,OTHER_DISRUPTION,train,0.24148777117572115,0.0023013785306064375,0.2956662616443904,0.21590726675646876,0.2307129810984813,0.12846425664404013,823.0
Grouped-random,A,OTHER_DISRUPTION,validation,0.22894302229562347,0.018697443145230367,0.2914285714285714,0.2053170768368192,0.22063353131591276,0.11107446467650472,175.0
Grouped-random,B,ACCIDENT,test,0.11069165726290271,0.0035157493176712334,0.34684684684684686,0.1600842850803321,0.16218825359021852,0.02825762763182878,74.0
Grouped-random,B,ACCIDENT,train,0.1283316788451385,0.019811568471692957,0.3768939393939394,0.13204371054499475,0.18422630520183492,0.007300981243556581,352.0
Grouped-random,B,ACCIDENT,validation,0.10989128212630517,0.010534758842394814,0.3248945147679325,0.17186001564908268,0.15724547944163084,0.03975439670335999,79.0
Grouped-random,B,NORMAL,test,0.6462140017476542,0.010585883699215091,0.40542205791743685,0.15127030838878475,0.4869372854285572,0.12500855453714552,541.0
Grouped-random,B,NORMAL,train,0.692959094369716,0.008114106752841955,0.4406374501992032,0.16845429991868024,0.5244949133302623,0.13469441724355427,2510.0
Grouped-random,B,NORMAL,validation,0.6956784183361036,0.016548622771457636,0.44276729559748423,0.16032555582168198,0.5278833766636389,0.12142613105606544,530.0
Grouped-random,B,OTHER_DISRUPTION,test,0.25449490996301843,0.012042825930794398,0.31860036832412525,0.14089300516342665,0.27313728550734023,0.06175733050999892,181.0
Grouped-random,B,OTHER_DISRUPTION,train,0.25172645059224985,0.003838263602134166,0.30579181855002024,0.1502086693490966,0.2637978043117433,0.06807287080438777,823.0
Grouped-random,B,OTHER_DISRUPTION,validation,0.23051076177724483,0.00472311764285749,0.2838095238095238,0.1258873267951109,0.24566317232010196,0.05688251002925603,175.0
Grouped-random,C,ACCIDENT,test,0.12176080708888969,0.0023260168231443623,0.3873873873873874,0.10922842930614544,0.18304288460263804,0.011398289671021663,74.0
Grouped-random,C,ACCIDENT,train,0.12390023204108778,0.012605193311594924,0.3740530303030303,0.1025223174991643,0.18310282573722272,0.015548518664863181,352.0
Grouped-random,C,ACCIDENT,validation,0.10587920310142533,0.017106780612872474,0.29535864978902954,0.09667881212987005,0.15358210162618544,0.028440645296660284,79.0
Grouped-random,C,NORMAL,test,0.6647763347763348,0.005014985383511274,0.4109673444239063,0.13347567634573113,0.49943787027707276,0.10779673142741203,541.0
Grouped-random,C,NORMAL,train,0.6932833343647301,0.024322667787007365,0.4241699867197875,0.1300547149267336,0.5166646502094329,0.09855138530364255,2510.0
