split_scheme,seed,partition,class,precision,recall,f1,support
Grouped-random,42,train,NORMAL,0.6970602889885401,0.5573705179282868,0.6194376798760239,2510
Grouped-random,42,train,ACCIDENT,0.13741721854304637,0.23579545454545456,0.17364016736401675,352
Grouped-random,42,train,OTHER_DISRUPTION,0.24860335195530725,0.3244228432563791,0.28149710068529255,823
Grouped-random,42,validation,NORMAL,0.6726804123711341,0.49245283018867925,0.5686274509803921,530
Grouped-random,42,validation,ACCIDENT,0.11724137931034483,0.21518987341772153,0.15178571428571427,79
Grouped-random,42,validation,OTHER_DISRUPTION,0.21115537848605578,0.3028571428571429,0.24882629107981222,175
Grouped-random,42,test,NORMAL,0.6574074074074074,0.5249537892791127,0.5837615621788284,541
Grouped-random,42,test,ACCIDENT,0.11811023622047244,0.20270270270270271,0.14925373134328357,74
Grouped-random,42,test,OTHER_DISRUPTION,0.25316455696202533,0.3314917127071823,0.28708133971291866,181
Grouped-random,52,train,NORMAL,0.6907011437095972,0.5533864541832669,0.6144658261446583,2510
Grouped-random,52,train,ACCIDENT,0.12424242424242424,0.23295454545454544,0.16205533596837945,352
Grouped-random,52,train,OTHER_DISRUPTION,0.24358974358974358,0.3001215066828676,0.2689167120304845,823
Grouped-random,52,validation,NORMAL,0.6775818639798489,0.5075471698113208,0.5803667745415318,530
Grouped-random,52,validation,ACCIDENT,0.11920529801324503,0.22784810126582278,0.1565217391304348,79
Grouped-random,52,validation,OTHER_DISRUPTION,0.211864406779661,0.2857142857142857,0.24330900243309003,175
Grouped-random,52,test,NORMAL,0.6576576576576577,0.5397412199630314,0.5928934010152285,541
Grouped-random,52,test,ACCIDENT,0.12,0.20270270270270271,0.1507537688442211,74
Grouped-random,52,test,OTHER_DISRUPTION,0.2643171806167401,0.3314917127071823,0.29411764705882354,181
Grouped-random,62,train,NORMAL,0.6928817451205511,0.48087649402390437,0.5677328316086547,2510
Grouped-random,62,train,ACCIDENT,0.11859443631039532,0.23011363636363635,0.1565217391304348,352
Grouped-random,62,train,OTHER_DISRUPTION,0.24365079365079365,0.3730255164034022,0.29476716274603937,823
Grouped-random,62,validation,NORMAL,0.6735294117647059,0.4320754716981132,0.5264367816091954,530
Grouped-random,62,validation,ACCIDENT,0.12578616352201258,0.25316455696202533,0.16806722689075632,79
Grouped-random,62,validation,OTHER_DISRUPTION,0.22105263157894736,0.36,0.27391304347826084,175
Grouped-random,62,test,NORMAL,0.6631853785900783,0.46950092421441775,0.5497835497835498,541
Grouped-random,62,test,ACCIDENT,0.11851851851851852,0.21621621621621623,0.15311004784688995,74
Grouped-random,62,test,OTHER_DISRUPTION,0.2697841726618705,0.4143646408839779,0.32679738562091504,181
Spatial holdout,42,train,NORMAL,0.6812162824914174,0.5518474374255066,0.6097453906935909,2517
Spatial holdout,42,train,ACCIDENT,0.1319073083778966,0.2132564841498559,0.16299559471365638,347
Spatial holdout,42,train,OTHER_DISRUPTION,0.24025385312783318,0.31585220500595945,0.2729145211122554,839
Spatial holdout,42,validation,NORMAL,0.6944444444444444,0.4553734061930783,0.5500550055005501,549
Spatial holdout,42,validation,ACCIDENT,0.12578616352201258,0.23809523809523808,0.1646090534979424,84
Spatial holdout,42,validation,OTHER_DISRUPTION,0.24390243902439024,0.4046242774566474,0.30434782608695654,173
Spatial holdout,42,test,NORMAL,0.6861313868613139,0.3650485436893204,0.47655259822560203,515
Spatial holdout,42,test,ACCIDENT,0.12345679012345678,0.13513513513513514,0.12903225806451613,74
Spatial holdout,42,test,OTHER_DISRUPTION,0.24688279301745636,0.592814371257485,0.3485915492957746,167
Spatial holdout,52,train,NORMAL,0.68,0.5470798569725864,0.6063408190224571,2517
Spatial holdout,52,train,ACCIDENT,0.1302170283806344,0.22478386167146974,0.1649048625792812,347
Spatial holdout,52,train,OTHER_DISRUPTION,0.23632993512511585,0.3039332538736591,0.2659019812304484,839
Spatial holdout,52,validation,NORMAL,0.6990291262135923,0.5245901639344263,0.5993756503642039,549
Spatial holdout,52,validation,ACCIDENT,0.11724137931034483,0.20238095238095238,0.14847161572052403,84
Spatial holdout,52,validation,OTHER_DISRUPTION,0.25301204819277107,0.36416184971098264,0.2985781990521327,173
Spatial holdout,52,test,NORMAL,0.6920289855072463,0.37087378640776697,0.4829329962073325,515
Spatial holdout,52,test,ACCIDENT,0.10869565217391304,0.13513513513513514,0.12048192771084337,74
Spatial holdout,52,test,OTHER_DISRUPTION,0.24484536082474226,0.5688622754491018,0.34234234234234234,167
Spatial holdout,62,train,NORMAL,0.6859375,0.6976559396106476,0.6917470947409887,2517
Spatial holdout,62,train,ACCIDENT,0.13131313131313133,0.22478386167146974,0.16578108395324123,347
Spatial holdout,62,train,OTHER_DISRUPTION,0.26229508196721313,0.17163289630512515,0.207492795389049,839
Spatial holdout,62,validation,NORMAL,0.6825688073394496,0.6775956284153005,0.680073126142596,549
Spatial holdout,62,validation,ACCIDENT,0.12751677852348994,0.2261904761904762,0.1630901287553648,84
Spatial holdout,62,validation,OTHER_DISRUPTION,0.25,0.16184971098265896,0.19649122807017544,173
Spatial holdout,62,test,NORMAL,0.6797274275979557,0.7747572815533981,0.7241379310344828,515
Spatial holdout,62,test,ACCIDENT,0.10869565217391304,0.13513513513513514,0.12048192771084337,74
Spatial holdout,62,test,OTHER_DISRUPTION,0.2857142857142857,0.1317365269461078,0.18032786885245902,167
