split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,42,A,train,NORMAL,0.6949275362318841,0.38207171314741034,0.4930591259640103,2510.0
Grouped-random,42,A,train,ACCIDENT,0.10885458976441917,0.3806818181818182,0.16929879974731524,352.0
Grouped-random,42,A,train,OTHER_DISRUPTION,0.24487895716945995,0.3195625759416768,0.27727991565629945,823.0
Grouped-random,42,A,validation,NORMAL,0.6910569105691057,0.32075471698113206,0.4381443298969072,530.0
Grouped-random,42,A,validation,ACCIDENT,0.09407665505226481,0.34177215189873417,0.14754098360655737,79.0
Grouped-random,42,A,validation,OTHER_DISRUPTION,0.21115537848605578,0.3028571428571429,0.24882629107981222,175.0
Grouped-random,42,A,test,NORMAL,0.664179104477612,0.3290203327171904,0.4400494437577256,541.0
Grouped-random,42,A,test,ACCIDENT,0.13405797101449277,0.5,0.21142857142857144,74.0
Grouped-random,42,A,test,OTHER_DISRUPTION,0.25396825396825395,0.35359116022099446,0.2956120092378753,181.0
Grouped-random,52,A,train,NORMAL,0.6966374269005848,0.3796812749003984,0.4914904589994843,2510.0
Grouped-random,52,A,train,ACCIDENT,0.11382113821138211,0.2784090909090909,0.1615828524319868,352.0
Grouped-random,52,A,train,OTHER_DISRUPTION,0.23695054945054944,0.41919805589307413,0.30276437033786746,823.0
Grouped-random,52,A,validation,NORMAL,0.6888888888888889,0.35094339622641507,0.465,530.0
Grouped-random,52,A,validation,ACCIDENT,0.11764705882352941,0.27848101265822783,0.16541353383458646,79.0
Grouped-random,52,A,validation,OTHER_DISRUPTION,0.22935779816513763,0.42857142857142855,0.29880478087649404,175.0
Grouped-random,52,A,test,NORMAL,0.6935483870967742,0.3974121996303142,0.5052878965922444,541.0
Grouped-random,52,A,test,ACCIDENT,0.11728395061728394,0.25675675675675674,0.16101694915254236,74.0
Grouped-random,52,A,test,OTHER_DISRUPTION,0.27469135802469136,0.49171270718232046,0.35247524752475246,181.0
Grouped-random,62,A,train,NORMAL,0.6931407942238267,0.4589641434262948,0.5522531160115053,2510.0
Grouped-random,62,A,train,ACCIDENT,0.12345679012345678,0.19886363636363635,0.15233949945593037,352.0
Grouped-random,62,A,train,OTHER_DISRUPTION,0.24244505494505494,0.4289185905224787,0.30978499341816584,823.0
Grouped-random,62,A,validation,NORMAL,0.6625386996904025,0.4037735849056604,0.5017584994138335,530.0
Grouped-random,62,A,validation,ACCIDENT,0.09923664122137404,0.16455696202531644,0.12380952380952381,79.0
Grouped-random,62,A,validation,OTHER_DISRUPTION,0.22727272727272727,0.42857142857142855,0.297029702970297,175.0
Grouped-random,62,A,test,NORMAL,0.6807909604519774,0.4454713493530499,0.5385474860335195,541.0
Grouped-random,62,A,test,ACCIDENT,0.11403508771929824,0.17567567567567569,0.13829787234042554,74.0
Grouped-random,62,A,test,OTHER_DISRUPTION,0.2682926829268293,0.4861878453038674,0.34577603143418467,181.0
Grouped-random,42,B,train,NORMAL,0.6895074946466809,0.3848605577689243,0.49399130657120943,2510.0
Grouped-random,42,B,train,ACCIDENT,0.12372881355932204,0.4147727272727273,0.1906005221932115,352.0
Grouped-random,42,B,train,OTHER_DISRUPTION,0.2554347826086957,0.34264884568651277,0.2926829268292683,823.0
