class,precision,recall,f1-score,support,split_scheme,seed
NORMAL,0.6619718309859155,0.34750462107208874,0.45575757575757575,541.0,Grouped-random,42
ACCIDENT,0.09166666666666666,0.14864864864864866,0.1134020618556701,74.0,Grouped-random,42
OTHER_DISRUPTION,0.2193877551020408,0.47513812154696133,0.30017452006980805,181.0,Grouped-random,42
accuracy,0.35804020100502515,0.35804020100502515,0.35804020100502515,0.35804020100502515,Grouped-random,42
macro avg,0.324342084251541,0.3237637970892329,0.28977805256101796,796.0,Grouped-random,42
weighted avg,0.5083156753394259,0.35804020100502515,0.3885530015010092,796.0,Grouped-random,42
NORMAL,0.6981132075471698,0.41035120147874304,0.5168800931315483,541.0,Grouped-random,52
ACCIDENT,0.09615384615384616,0.13513513513513514,0.11235955056179775,74.0,Grouped-random,52
OTHER_DISRUPTION,0.24866310160427807,0.5138121546961326,0.33513513513513515,181.0,Grouped-random,52
accuracy,0.4082914572864322,0.4082914572864322,0.4082914572864322,0.4082914572864322,Grouped-random,52
macro avg,0.3476433851017647,0.353099497103337,0.32145825960949376,796.0,Grouped-random,52
weighted avg,0.5399530795085149,0.4082914572864322,0.4379474831472363,796.0,Grouped-random,52
NORMAL,0.6952380952380952,0.4048059149722736,0.5116822429906542,541.0,Grouped-random,62
ACCIDENT,0.0990990990990991,0.14864864864864866,0.11891891891891893,74.0,Grouped-random,62
OTHER_DISRUPTION,0.24054054054054055,0.49171270718232046,0.32304900181488205,181.0,Grouped-random,62
accuracy,0.4007537688442211,0.4007537688442211,0.4007537688442211,0.4007537688442211,Grouped-random,62
macro avg,0.34495924495924496,0.34838909026774756,0.31788338790815174,796.0,Grouped-random,62
weighted avg,0.5364258551444481,0.4007537688442211,0.4322763351588412,796.0,Grouped-random,62
NORMAL,0.6766467065868264,0.21941747572815534,0.3313782991202346,515.0,Spatial holdout,42
ACCIDENT,0.10185185185185185,0.14864864864864866,0.12087912087912088,74.0,Spatial holdout,42
OTHER_DISRUPTION,0.2286902286902287,0.6586826347305389,0.3395061728395062,167.0,Spatial holdout,42
accuracy,0.30952380952380953,0.30952380952380953,0.30952380952380953,0.30952380952380953,Spatial holdout,42
macro avg,0.3357295957096356,0.34224958636911423,0.2639211976129539,756.0,Spatial holdout,42
weighted avg,0.521430369207038,0.30952380952380953,0.31256932520657843,756.0,Spatial holdout,42
NORMAL,0.6836158192090396,0.23495145631067962,0.34971098265895956,515.0,Spatial holdout,52
ACCIDENT,0.09433962264150944,0.13513513513513514,0.1111111111111111,74.0,Spatial holdout,52
OTHER_DISRUPTION,0.2346723044397463,0.6646706586826348,0.346875,167.0,Spatial holdout,52
accuracy,0.3201058201058201,0.3201058201058201,0.3201058201058201,0.3201058201058201,Spatial holdout,52
macro avg,0.3375425820967651,0.3449190833761498,0.2692323645900236,756.0,Spatial holdout,52
weighted avg,0.5267639600655617,0.3201058201058201,0.3257295017084476,756.0,Spatial holdout,52
NORMAL,0.6857142857142857,0.23300970873786409,0.34782608695652173,515.0,Spatial holdout,62
ACCIDENT,0.10091743119266056,0.14864864864864866,0.12021857923497267,74.0,Spatial holdout,62
OTHER_DISRUPTION,0.2288135593220339,0.6467065868263473,0.3380281690140845,167.0,Spatial holdout,62
accuracy,0.31613756613756616,0.31613756613756616,0.31613756613756616,0.31613756613756616,Spatial holdout,62
macro avg,0.3384817587429934,0.34278831473762006,0.2686909450685263,756.0,Spatial holdout,62
weighted avg,0.5275431368490658,0.31613756613756616,0.3233826903060169,756.0,Spatial holdout,62
