split_scheme,seed,partition,tree_depth,n_leaves,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,train,33,220,0.5712347354138398,0.6847755834059103,0.5719069223387523,0.6847755834059103,0.5517694996039374,0.5855886423861822
Grouped-random,42,validation,33,220,0.3711734693877551,0.3478733494830939,0.34092165898617516,0.3478733494830939,0.3089590700468327,0.4027643695112351
Grouped-random,42,test,33,220,0.35804020100502515,0.3237637970892329,0.324342084251541,0.3237637970892329,0.28977805256101796,0.3885530015010092
Grouped-random,52,train,33,276,0.6143826322930801,0.716495242748583,0.6014266352364911,0.716495242748583,0.5916061235092726,0.6303790560387033
Grouped-random,52,validation,33,276,0.38010204081632654,0.3497242030320607,0.34163863218235346,0.3497242030320607,0.3137831334792971,0.4114505955087636
Grouped-random,52,test,33,276,0.4082914572864322,0.353099497103337,0.3476433851017647,0.353099497103337,0.32145825960949376,0.4379474831472363
Grouped-random,62,train,33,279,0.6135685210312076,0.7166387837948255,0.6013936615347943,0.7166387837948255,0.5910887718530634,0.6296622567496857
Grouped-random,62,validation,33,279,0.37244897959183676,0.3436359707484618,0.3383230381469818,0.3436359707484618,0.3071560669801899,0.4041898124263485
Grouped-random,62,test,33,279,0.4007537688442211,0.34838909026774756,0.34495924495924496,0.34838909026774756,0.31788338790815174,0.4322763351588412
Spatial holdout,42,train,21,224,0.5452335943829327,0.6553007273880551,0.5422301911931428,0.6553007273880551,0.5221201134189345,0.5616488437735859
Spatial holdout,42,validation,21,224,0.36228287841191065,0.3638771943282509,0.352539019176795,0.3638771943282509,0.311059893838457,0.39194345901566485
Spatial holdout,42,test,21,224,0.30952380952380953,0.34224958636911423,0.3357295957096356,0.34224958636911423,0.2639211976129539,0.31256932520657843
Spatial holdout,52,train,21,230,0.5490143127194167,0.6574196520337975,0.5441675992225652,0.6574196520337975,0.5251556268237652,0.5657853908945928
Spatial holdout,52,validation,21,230,0.3684863523573201,0.3702741064628679,0.3543569183921076,0.3702741064628679,0.3171999433342446,0.39726932147660526
Spatial holdout,52,test,21,230,0.3201058201058201,0.3449190833761498,0.3375425820967651,0.3449190833761498,0.2692323645900236,0.3257295017084476
Spatial holdout,62,train,21,226,0.5468539022414258,0.6555655929687729,0.5422891343426064,0.6555655929687729,0.5231727682012496,0.5635880737311887
Spatial holdout,62,validation,21,226,0.36476426799007444,0.3650915234114325,0.3530516802805997,0.3650915234114325,0.31276304645091013,0.39457404337001734
Spatial holdout,62,test,21,226,0.31613756613756616,0.34278831473762006,0.3384817587429934,0.34278831473762006,0.2686909450685263,0.3233826903060169
