split_scheme,feature,mean,std
Grouped-random,cumulative_post_change,0.031088088920965522,0.004908313567957511
Grouped-random,logflow_m1,0.0213578694005566,0.0022288799362620466
Grouped-random,logflow_m2,0.01957983125427625,0.001650411914491258
Grouped-random,logflow_m3,0.0259398446515854,0.00311460881282311
Grouped-random,logflow_p1,0.07190783309239081,0.005539838894624592
Grouped-random,logflow_p2,0.019261504754662734,0.002842117737634106
Grouped-random,logflow_p3,0.014307368126171104,0.00287859827481455
Grouped-random,logflow_t0,0.014082079861688595,0.005388999770375413
Grouped-random,max_abs_change,0.03605631730997414,0.005361967601665794
Grouped-random,max_drop,0.05470657104722507,0.005463886601385568
Grouped-random,max_rise,0.0398613402763398,0.0031369772378904313
Grouped-random,mean_shift,0.03357258811692947,0.002276060013770775
Grouped-random,onset_jump,0.05161720234858708,0.0013580019592013693
Grouped-random,post_mean,0.03315861702128338,0.005223850826646615
Grouped-random,post_slope,0.0203872111112257,0.0066355439176829486
Grouped-random,pre_mean,0.024994993751348466,0.005970060321284894
Grouped-random,pre_median,0.03583434199508085,0.0032638990690573117
Grouped-random,pre_slope,0.03137223732244857,0.004421051089517534
Grouped-random,relchg_m1,0.03290657055938554,0.00328149661535084
Grouped-random,relchg_m2,0.010533466478585008,0.0008759857008227147
Grouped-random,relchg_m3,0.04212841873125239,0.0021084315598976244
Grouped-random,relchg_p1,0.06334952187719033,0.003494444996597124
Grouped-random,relchg_p2,0.04236729680711329,0.004461046999565102
Grouped-random,relchg_p3,0.04010945074957908,0.004404882023005303
Grouped-random,relchg_t0,0.043946150713217134,0.0005161795237202896
Grouped-random,window_max,0.013919601213570573,0.001308372261323172
Grouped-random,window_mean,0.029916343890491307,0.003995091653156461
Grouped-random,window_min,0.02663117381767392,0.002422817230724632
Grouped-random,window_range,0.03480819932023211,0.005188499951279523
Grouped-random,window_std,0.040297965478969716,0.006483578411553204
Spatial holdout,cumulative_post_change,0.026418275504847585,0.011703789494195118
Spatial holdout,logflow_m1,0.005463906480070446,1.2684868285901824e-05
Spatial holdout,logflow_m2,0.006058269108163164,0.000755806714271325
Spatial holdout,logflow_m3,0.012628409399258961,0.005237810075397157
Spatial holdout,logflow_p1,0.02135526273896347,4.9577842527556006e-05
Spatial holdout,logflow_p2,0.032474274984731176,0.00042595126968782577
Spatial holdout,logflow_p3,0.0331399127333517,0.0032302223363553668
Spatial holdout,logflow_t0,0.014716164325438354,0.0028687280096364185
Spatial holdout,max_abs_change,0.021124958000901334,0.0005279357688351171
Spatial holdout,max_drop,0.053295028697346675,0.0027603837889989343
Spatial holdout,max_rise,0.032235303990186766,0.001422271182549066
Spatial holdout,mean_shift,0.06422557717270565,0.002386019249093929
Spatial holdout,onset_jump,0.043502779704405005,0.004124766375188208
Spatial holdout,post_mean,0.006545354674304424,0.00193630172472835
Spatial holdout,post_slope,0.03656964698240479,0.005772604816632181
Spatial holdout,pre_mean,0.02203334432760684,0.0020324029541832996
Spatial holdout,pre_median,0.016271396126700425,0.0007447599269351549
Spatial holdout,pre_slope,0.016656092248118027,0.007040015780503447
Spatial holdout,relchg_m1,0.08070504214003528,0.0050358693206176705
Spatial holdout,relchg_m2,0.020144608143387144,4.6767217173661285e-05
Spatial holdout,relchg_m3,0.07037182035165152,0.0018971214950936916
Spatial holdout,relchg_p1,0.05399807828202365,0.0020313546047233725
Spatial holdout,relchg_p2,0.069961545463663,0.00034095470157316705
Spatial holdout,relchg_p3,0.020987040603461644,0.003712042963283423
Spatial holdout,relchg_t0,0.07250606514190906,0.004221549153153
Spatial holdout,window_max,0.013629129410069442,0.002114385602927506
Spatial holdout,window_mean,0.0394702401493937,0.0015748170762568546
Spatial holdout,window_min,0.02536617694943688,0.0035491118445928156
Spatial holdout,window_range,0.01631268165617799,0.003988882832867289
Spatial holdout,window_std,0.05183361450928586,0.003625141320644469
