class,precision,recall,f1-score,support,split_scheme,seed
NORMAL,0.6611764705882353,0.5194085027726433,0.5817805383022774,541.0,Grouped-random,42
ACCIDENT,0.09285714285714286,0.17567567567567569,0.12149532710280374,74.0,Grouped-random,42
OTHER_DISRUPTION,0.2597402597402597,0.3314917127071823,0.2912621359223301,181.0,Grouped-random,42
accuracy,0.44472361809045224,0.44472361809045224,0.44472361809045224,0.44472361809045224,Grouped-random,42
macro avg,0.3379246243952126,0.3421919637185004,0.33151266710913707,796.0,Grouped-random,42
weighted avg,0.5170614147897624,0.44472361809045224,0.4729301156144237,796.0,Grouped-random,42
NORMAL,0.6682242990654206,0.5286506469500925,0.5902992776057792,541.0,Grouped-random,52
ACCIDENT,0.06481481481481481,0.0945945945945946,0.07692307692307693,74.0,Grouped-random,52
OTHER_DISRUPTION,0.23846153846153847,0.3425414364640884,0.2811791383219955,181.0,Grouped-random,52
accuracy,0.44597989949748745,0.44597989949748745,0.44597989949748745,0.44597989949748745,Grouped-random,52
macro avg,0.3238335507805913,0.32192889266959185,0.31613383095028386,796.0,Grouped-random,52
weighted avg,0.5144060057188785,0.44597989949748745,0.4722834684840646,796.0,Grouped-random,52
NORMAL,0.6744186046511628,0.3752310536044362,0.4821852731591449,541.0,Grouped-random,62
ACCIDENT,0.10887096774193548,0.36486486486486486,0.16770186335403728,74.0,Grouped-random,62
OTHER_DISRUPTION,0.242914979757085,0.3314917127071823,0.2803738317757009,181.0,Grouped-random,62
accuracy,0.36432160804020103,0.36432160804020103,0.36432160804020103,0.36432160804020103,Grouped-random,62
macro avg,0.34206818405006106,0.35719587705882777,0.3100869894296277,796.0,Grouped-random,62
weighted avg,0.5237242814889632,0.36432160804020103,0.4070600932395704,796.0,Grouped-random,62
NORMAL,0.6698656429942419,0.6776699029126214,0.6737451737451737,515.0,Spatial holdout,42
ACCIDENT,0.12790697674418605,0.14864864864864866,0.1375,74.0,Spatial holdout,42
OTHER_DISRUPTION,0.2214765100671141,0.19760479041916168,0.2088607594936709,167.0,Spatial holdout,42
accuracy,0.5198412698412699,0.5198412698412699,0.5198412698412699,0.5198412698412699,Spatial holdout,42
macro avg,0.3397497099351807,0.34130778066014394,0.3400353110796149,756.0,Spatial holdout,42
weighted avg,0.5177678566168153,0.5198412698412699,0.5185628456537136,756.0,Spatial holdout,42
NORMAL,0.6957928802588996,0.4174757281553398,0.5218446601941747,515.0,Spatial holdout,52
ACCIDENT,0.12871287128712872,0.17567567567567569,0.14857142857142858,74.0,Spatial holdout,52
OTHER_DISRUPTION,0.24277456647398843,0.5029940119760479,0.32748538011695905,167.0,Spatial holdout,52
accuracy,0.4126984126984127,0.4126984126984127,0.4126984126984127,0.4126984126984127,Spatial holdout,52
macro avg,0.35576010600667224,0.36538180526902114,0.33263382296085414,756.0,Spatial holdout,52
weighted avg,0.5402135428700223,0.4126984126984127,0.44237347115584374,756.0,Spatial holdout,52
NORMAL,0.7064846416382252,0.40194174757281553,0.5123762376237624,515.0,Spatial holdout,62
ACCIDENT,0.14516129032258066,0.12162162162162163,0.1323529411764706,74.0,Spatial holdout,62
OTHER_DISRUPTION,0.24189526184538654,0.5808383233532934,0.3415492957746479,167.0,Spatial holdout,62
accuracy,0.414021164021164,0.414021164021164,0.414021164021164,0.414021164021164,Spatial holdout,62
macro avg,0.36451373126873077,0.36813389751591014,0.32875949152496026,756.0,Spatial holdout,62
weighted avg,0.5489127442536198,0.414021164021164,0.4374426090180723,756.0,Spatial holdout,62
