split_scheme,seed,partition,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,train,3,0.46458616010854814,0.36381232315115253,0.35454369856610723,0.36381232315115253,0.3496488181349835,0.49339841472437385
Grouped-random,42,validation,3,0.42857142857142855,0.3351116266903227,0.3321675172234532,0.3351116266903227,0.32366924459516794,0.45920965032168415
Grouped-random,42,test,3,0.44472361809045224,0.3421919637185004,0.3379246243952126,0.3421919637185004,0.33151266710913707,0.4729301156144237
Grouped-random,52,train,8,0.46675712347354137,0.36109606549684026,0.3539849558203123,0.36109606549684026,0.34899767615133803,0.49431422935330865
Grouped-random,52,validation,8,0.4336734693877551,0.34575636607640425,0.34256557753587796,0.34575636607640425,0.3318066844497802,0.46447159144177946
Grouped-random,52,test,8,0.44597989949748745,0.32192889266959185,0.3238335507805913,0.32192889266959185,0.31613383095028386,0.4722834684840646
Grouped-random,62,train,1,0.3514246947082768,0.3480358849223306,0.33373615580563837,0.3480358849223306,0.2987371482929452,0.39524589412674693
Grouped-random,62,validation,1,0.3635204081632653,0.3533028535034745,0.34521324086541477,0.3533028535034745,0.30978935943463354,0.4084544638250786
Grouped-random,62,test,1,0.36432160804020103,0.35719587705882777,0.34206818405006106,0.35719587705882777,0.3100869894296277,0.4070600932395704
Spatial holdout,42,train,6,0.4453146097758574,0.3643569548396552,0.3535750338086023,0.3643569548396552,0.34567448429117303,0.47504875626647824
Spatial holdout,42,validation,6,0.4441687344913151,0.36363966815023385,0.3529986244860151,0.36363966815023385,0.34548935661128133,0.474751549424455
Spatial holdout,42,test,6,0.5198412698412699,0.34130778066014394,0.3397497099351807,0.34130778066014394,0.3400353110796149,0.5185628456537136
Spatial holdout,52,train,5,0.4723197407507426,0.35691094982552835,0.34891170758400936,0.35691094982552835,0.3453601913536531,0.49694275331991167
Spatial holdout,52,validation,5,0.46774193548387094,0.36402108881498624,0.3566117268163304,0.36402108881498624,0.35153512474092424,0.49631593414603026
Spatial holdout,52,test,5,0.4126984126984127,0.36538180526902114,0.35576010600667224,0.36538180526902114,0.33263382296085414,0.44237347115584374
Spatial holdout,62,train,7,0.469889278963003,0.3543794607810023,0.3498684313176308,0.3543794607810023,0.34446632735893806,0.4919252657066974
Spatial holdout,62,validation,7,0.45285359801488834,0.3689612572868519,0.36135909393737514,0.3689612572868519,0.3499633818191417,0.47987221347990927
Spatial holdout,62,test,7,0.414021164021164,0.36813389751591014,0.36451373126873077,0.36813389751591014,0.32875949152496026,0.4374426090180723
