class,precision,recall,f1-score,support,split_scheme,seed
NORMAL,0.68,0.40850277264325324,0.5103926096997691,541.0,Grouped-random,42
ACCIDENT,0.06912442396313365,0.20270270270270271,0.10309278350515463,74.0,Grouped-random,42
OTHER_DISRUPTION,0.27165354330708663,0.3812154696132597,0.31724137931034485,181.0,Grouped-random,42
accuracy,0.38316582914572866,0.38316582914572866,0.38316582914572866,0.38316582914572866,Grouped-random,42
macro avg,0.3402593224234068,0.3308069816530719,0.31024225750508955,796.0,Grouped-random,42
weighted avg,0.5303574104420284,0.38316582914572866,0.4286079867865941,796.0,Grouped-random,42
NORMAL,0.679324894514768,0.5951940850277264,0.6344827586206897,541.0,Grouped-random,52
ACCIDENT,0.11555555555555555,0.35135135135135137,0.17391304347826086,74.0,Grouped-random,52
OTHER_DISRUPTION,0.28865979381443296,0.15469613259668508,0.2014388489208633,181.0,Grouped-random,52
accuracy,0.4723618090452261,0.4723618090452261,0.4723618090452261,0.4723618090452261,Grouped-random,52
macro avg,0.36118008129491885,0.36708052299192095,0.336611550339938,796.0,Grouped-random,52
weighted avg,0.5380820373417248,0.4723618090452261,0.4931974488515838,796.0,Grouped-random,52
NORMAL,0.6930091185410334,0.4214417744916821,0.5241379310344828,541.0,Grouped-random,62
ACCIDENT,0.10975609756097561,0.24324324324324326,0.15126050420168066,74.0,Grouped-random,62
OTHER_DISRUPTION,0.24422442244224424,0.4088397790055249,0.30578512396694213,181.0,Grouped-random,62
accuracy,0.4020100502512563,0.4020100502512563,0.4020100502512563,0.4020100502512563,Grouped-random,62
macro avg,0.34899654618141773,0.3578415989134834,0.3270611864010352,796.0,Grouped-random,62
weighted avg,0.5367393276535898,0.4020100502512563,0.43982287115401514,796.0,Grouped-random,62
NORMAL,0.664804469273743,0.23106796116504855,0.34293948126801155,515.0,Spatial holdout,42
ACCIDENT,0.11564625850340136,0.22972972972972974,0.15384615384615385,74.0,Spatial holdout,42
OTHER_DISRUPTION,0.24186046511627907,0.6227544910179641,0.34840871021775544,167.0,Spatial holdout,42
accuracy,0.31746031746031744,0.31746031746031744,0.31746031746031744,0.31746031746031744,Spatial holdout,42
macro avg,0.34077039763114114,0.36118406063758074,0.28173144844397363,756.0,Spatial holdout,42
weighted avg,0.5176227810577354,0.31746031746031744,0.3256384958254054,756.0,Spatial holdout,42
NORMAL,0.698961937716263,0.39223300970873787,0.5024875621890548,515.0,Spatial holdout,52
ACCIDENT,0.1794871794871795,0.0945945945945946,0.12389380530973451,74.0,Spatial holdout,52
OTHER_DISRUPTION,0.2523364485981308,0.6467065868263473,0.3630252100840336,167.0,Spatial holdout,52
accuracy,0.4193121693121693,0.4193121693121693,0.4193121693121693,0.4193121693121693,Spatial holdout,52
macro avg,0.3769285219338578,0.3778447303765599,0.3298021925276076,756.0,Spatial holdout,52
weighted avg,0.5494545451346754,0.4193121693121693,0.43462228333904385,756.0,Spatial holdout,52
NORMAL,0.6832844574780058,0.4524271844660194,0.544392523364486,515.0,Spatial holdout,62
ACCIDENT,0.12244897959183673,0.08108108108108109,0.0975609756097561,74.0,Spatial holdout,62
OTHER_DISRUPTION,0.24043715846994534,0.5269461077844312,0.3302063789868668,167.0,Spatial holdout,62
accuracy,0.43253968253968256,0.43253968253968256,0.43253968253968256,0.43253968253968256,Spatial holdout,62
macro avg,0.348723531846596,0.35348479111051057,0.3240532926537029,756.0,Spatial holdout,62
weighted avg,0.5305631290416003,0.43253968253968256,0.4533414378553426,756.0,Spatial holdout,62
