split_scheme,seed,partition,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,train,1,0.3633649932157395,0.33926155534715213,0.3401894009481213,0.33926155534715213,0.3042399295042693,0.40981411018289515
Grouped-random,42,validation,1,0.37755102040816324,0.32941963219488896,0.32976549845568126,0.32941963219488896,0.3051868349651014,0.41897640516387075
Grouped-random,42,test,1,0.38316582914572866,0.3308069816530719,0.3402593224234068,0.3308069816530719,0.31024225750508955,0.4286079867865941
Grouped-random,52,train,5,0.46567164179104475,0.34140973111860523,0.3318475357851777,0.34140973111860523,0.3160130237468817,0.48338586137930606
Grouped-random,52,validation,5,0.461734693877551,0.3493306947808978,0.36547597427333695,0.3493306947808978,0.32722383649539527,0.48661515019045826
Grouped-random,52,test,5,0.4723618090452261,0.36708052299192095,0.36118008129491885,0.36708052299192095,0.336611550339938,0.4931974488515838
Grouped-random,62,train,11,0.387516960651289,0.3502717626493181,0.339451236048131,0.3502717626493181,0.3176913423648337,0.4268106433047482
Grouped-random,62,validation,11,0.3903061224489796,0.356122237765419,0.351464184524607,0.356122237765419,0.3242826699246271,0.43067347882250784
Grouped-random,62,test,11,0.4020100502512563,0.3578415989134834,0.34899654618141773,0.3578415989134834,0.3270611864010352,0.43982287115401514
Spatial holdout,42,train,6,0.3686200378071834,0.35132663689027965,0.34356987645018666,0.35132663689027965,0.31086662554069183,0.4098294738728282
Spatial holdout,42,validation,6,0.3684863523573201,0.37196599477467474,0.36406165978667054,0.37196599477467474,0.32076571518566976,0.408082876899186
Spatial holdout,42,test,6,0.31746031746031744,0.36118406063758074,0.34077039763114114,0.36118406063758074,0.28173144844397363,0.3256384958254054
Spatial holdout,52,train,1,0.48852281933567376,0.3484085356940719,0.3451578706570881,0.3484085356940719,0.3376874001397782,0.5026528524336336
Spatial holdout,52,validation,1,0.4838709677419355,0.3657671255747632,0.36087124846403745,0.3657671255747632,0.3424601248749856,0.5005386380538683
Spatial holdout,52,test,1,0.4193121693121693,0.3778447303765599,0.3769285219338578,0.3778447303765599,0.3298021925276076,0.43462228333904385
Spatial holdout,62,train,3,0.5120172832838239,0.3430200095641664,0.34249175035393425,0.3430200095641664,0.34214276118669246,0.521290102489298
Spatial holdout,62,validation,3,0.5099255583126551,0.34901231726778964,0.3467105623859424,0.34901231726778964,0.34549820725191166,0.5199272550988316
Spatial holdout,62,test,3,0.43253968253968256,0.35348479111051057,0.348723531846596,0.35348479111051057,0.3240532926537029,0.4533414378553426
