split_scheme,feature_level,class,partition,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
Grouped-random,A,ACCIDENT,test,0.12179233645035832,0.0107458420320673,0.3108108108108108,0.16878372968644323,0.17024779764051312,0.03742901561804879,74.0
Grouped-random,A,ACCIDENT,train,0.11537750603308601,0.00742447132317825,0.28598484848484845,0.09114552587512094,0.16107371721174413,0.00849110597023205,352.0
Grouped-random,A,ACCIDENT,validation,0.10365345169905608,0.012390405343729982,0.26160337552742613,0.08980504917212136,0.14558801375022254,0.020870648791692904,79.0
Grouped-random,A,NORMAL,test,0.6795061506754546,0.014726735636672622,0.39063462723351816,0.058520606922490684,0.4946282754611631,0.050106753287702324,541.0
Grouped-random,A,NORMAL,train,0.6949019191187652,0.0017484570902388838,0.40690571049136787,0.04509976583623704,0.5122675669916666,0.03463738264974474,2510.0
Grouped-random,A,NORMAL,validation,0.6808281663827991,0.01587619360617292,0.3584905660377358,0.042020863115698304,0.4683009431035803,0.031935290978193136,530.0
Grouped-random,A,OTHER_DISRUPTION,test,0.2656507649732582,0.010611152542892504,0.44383057090239414,0.07819843000207055,0.3312877627322708,0.031077152614126143,181.0
Grouped-random,A,OTHER_DISRUPTION,train,0.24142485385502144,0.004061467707294878,0.3892264074524099,0.06052610398776067,0.2966097598041109,0.017104222963727864,823.0
Grouped-random,A,OTHER_DISRUPTION,validation,0.22259530130797356,0.009961965457939048,0.38666666666666666,0.07258117669812435,0.2815535916422011,0.028356566734514463,175.0
Grouped-random,B,ACCIDENT,test,0.11022975528935679,0.0070302187906051,0.37837837837837834,0.013513513513513542,0.17055711173358232,0.0076935024241421065,74.0
Grouped-random,B,ACCIDENT,train,0.12243814148389846,0.0055608332336028864,0.4270833333333333,0.03167751644635936,0.1900093088394592,0.003781609775214163,352.0
Grouped-random,B,ACCIDENT,validation,0.10913735534437735,0.015433780543732617,0.3375527426160338,0.08616277576650691,0.16451001682514796,0.0274807462018092,79.0
Grouped-random,B,NORMAL,test,0.6554753250155549,0.0017998466985831595,0.2729513247073321,0.06807473391186153,0.3820944151952284,0.06694743557211834,541.0
Grouped-random,B,NORMAL,train,0.6938907279386105,0.004295159108421099,0.30730411686586984,0.07028833957831858,0.4226966794007055,0.06530544567027914,2510.0
Grouped-random,B,NORMAL,validation,0.6829790407995823,0.027396065271815182,0.2943396226415094,0.09762213826623799,0.4036120581863713,0.08713175819818436,530.0
Grouped-random,B,OTHER_DISRUPTION,test,0.24180383298059385,0.014749981355920157,0.42173112338858193,0.060857133119183414,0.30655270655270656,0.024572959244920985,181.0
Grouped-random,B,OTHER_DISRUPTION,train,0.24883867375851046,0.005712463249254953,0.40421223167274195,0.056749388053906835,0.3067292554890703,0.013185745435603179,823.0
Grouped-random,B,OTHER_DISRUPTION,validation,0.22686912904696763,0.019805364829012555,0.4076190476190476,0.10066445913694336,0.2901851332223407,0.043467474513907,175.0
Grouped-random,C,ACCIDENT,test,0.12131890934403584,0.004355555310171579,0.3963963963963964,0.07442662901737977,0.18488622875738928,0.01050459087699285,74.0
Grouped-random,C,ACCIDENT,train,0.12038530596882067,0.008274154077898202,0.393939393939394,0.05605548707177555,0.18395213784713194,0.01322954513695115,352.0
Grouped-random,C,ACCIDENT,validation,0.10443089430894309,0.014373411219882438,0.29957805907172996,0.019335762425974026,0.1546067330272002,0.017068702111702586,79.0
Grouped-random,C,NORMAL,test,0.6636069651741293,0.00833563493870987,0.30129390018484287,0.051258501382114754,0.4128731705337001,0.05141211386018709,541.0
Grouped-random,C,NORMAL,train,0.6890644345048714,0.009404799268492713,0.3103585657370518,0.05089163869970624,0.4263621280694165,0.050508484303445234,2510.0
Grouped-random,C,NORMAL,validation,0.6874611613777236,0.015845019134938427,0.33647798742138363,0.046075353226144304,0.4501214637287705,0.039598071617632735,530.0
Grouped-random,C,OTHER_DISRUPTION,test,0.24387057200911585,0.02080813540513939,0.4143646408839779,0.04816462921039418,0.3062154267678967,0.022480102284148543,181.0
Grouped-random,C,OTHER_DISRUPTION,train,0.24521026509799568,0.005754238738872152,0.4179829890643985,0.04812953176266918,0.3086243933532145,0.017404771233612264,823.0
Grouped-random,C,OTHER_DISRUPTION,validation,0.23577673614022754,0.012091440753520269,0.3961904761904762,0.031471831698777764,0.294832784954064,0.0024970262513630027,175.0
Grouped-random,D,ACCIDENT,test,0.11100569248302712,0.01955427287215698,0.32882882882882886,0.0078020306647246605,0.16528902670430878,0.021231238511792722,74.0
Grouped-random,D,ACCIDENT,train,0.13314643506061596,0.030124846081014286,0.36742424242424243,0.03365408265893345,0.19502046415700225,0.0369326728133279,352.0
Grouped-random,D,ACCIDENT,validation,0.10915148414853292,0.020951090554641137,0.26160337552742613,0.019335762425974,0.15362205704329723,0.02327225793567134,79.0
Grouped-random,D,NORMAL,test,0.6649518395061577,0.009140847519718274,0.37523105360443626,0.06563874641243883,0.4774522877387059,0.05382883859837555,541.0
Grouped-random,D,NORMAL,train,0.7114191956488005,0.027185062855838396,0.41062416998671974,0.051401113455123645,0.5193555790419485,0.041343321968423274,2510.0
Grouped-random,D,NORMAL,validation,0.6810317791273975,0.02596706459699943,0.4012578616352201,0.09811925477251668,0.5017923128857432,0.08272967878968128,530.0
Grouped-random,D,OTHER_DISRUPTION,test,0.22307788727142422,0.028168341207360087,0.3333333333333333,0.10774661124353646,0.264998420765498,0.05469474884511094,181.0
Grouped-random,D,OTHER_DISRUPTION,train,0.2579666390963084,0.01990783627015298,0.39206156338598624,0.09598515246419373,0.3091948926524704,0.041608828892586686,823.0
Grouped-random,D,OTHER_DISRUPTION,validation,0.2374967268918565,0.013206656743328252,0.379047619047619,0.08326663997864531,0.2889265404062742,0.02271493013525516,175.0
Spatial,A,ACCIDENT,test,0.13674242424242425,0.01928845008556668,0.24324324324324323,0.07524005895716245,0.17286820411973858,0.03015642774630023,74.0
Spatial,A,ACCIDENT,train,0.11438176060066678,0.006213592114099371,0.2632084534101825,0.055607898706652455,0.1580232807326604,0.005315000158198096,347.0
Spatial,A,ACCIDENT,validation,0.10920536803146667,0.010286357926357122,0.23015873015873015,0.027492869961410756,0.1472250850847718,0.005248218261503287,84.0
Spatial,A,NORMAL,test,0.679747224035211,0.0015170984337062575,0.49967637540453075,0.30091658347384326,0.5361885771184486,0.2346774097141746,515.0
Spatial,A,NORMAL,train,0.6869614832149261,0.008645497521884395,0.410409217322209,0.21081873529656192,0.4914803739855655,0.16588439654947354,2517.0
Spatial,A,NORMAL,validation,0.703934873886797,0.06768250612848996,0.41287188828172433,0.1937501914222712,0.49696652730904406,0.14163895998558693,549.0
Spatial,A,OTHER_DISRUPTION,test,0.24118849255341343,0.01003647760312565,0.35528942115768464,0.3294138914775134,0.2499202376858223,0.10516228236771062,167.0
Spatial,A,OTHER_DISRUPTION,train,0.24098832219427635,0.0027177906766557305,0.39849026618990857,0.20904879862002004,0.28725392736485894,0.06078784335943296,839.0
Spatial,A,OTHER_DISRUPTION,validation,0.22255333387767565,0.02576298013229758,0.3969171483622351,0.2617376103579896,0.2714681610557457,0.09119858763150979,173.0
Spatial,B,ACCIDENT,test,0.12779643974060723,0.03284855397441252,0.3378378378378379,0.048723665884648486,0.18513690711195385,0.04185891497461132,74.0
Spatial,B,ACCIDENT,train,0.11967259984807556,0.0070893270484478094,0.39769452449567727,0.013206270014281967,0.18379643119014274,0.006973769488440342,347.0
Spatial,B,ACCIDENT,validation,0.1291415266601371,0.008831720576460504,0.46428571428571425,0.06299407883487121,0.20166891098551468,0.014411639476021443,84.0
Spatial,B,NORMAL,test,0.6964631501711912,0.011570556326291797,0.344336569579288,0.07415171027436632,0.4574474831381095,0.06402460748817768,515.0
Spatial,B,NORMAL,train,0.6835085473136696,0.011677275113802192,0.30750893921334926,0.07530769401644623,0.4204727981885341,0.07499754109109202,2517.0
Spatial,B,NORMAL,validation,0.6816733313912944,0.01313146289280932,0.29326047358834245,0.10028145434244666,0.40375396692624693,0.10329450972568305,549.0
Spatial,B,OTHER_DISRUPTION,test,0.256708029222249,0.0123634709975176,0.46506986027944114,0.07143924218831647,0.330124061035467,0.028151170886134124,167.0
Spatial,B,OTHER_DISRUPTION,train,0.2492020489410647,0.0047925694801763796,0.41954707985697254,0.04867837391337816,0.31194472049413546,0.012103967331224335,839.0
Spatial,B,OTHER_DISRUPTION,validation,0.2501481481481482,0.005779202103641338,0.3872832369942196,0.05137684634286469,0.30291038134381143,0.01251131390733508,173.0
Spatial,C,ACCIDENT,test,0.11188261550739192,0.009833478347545367,0.32432432432432434,0.097447331769297,0.1652051282835668,0.022401244732962827,74.0
Spatial,C,ACCIDENT,train,0.11877742650994406,0.006641680548479923,0.42939481268011526,0.050246673700757014,0.1855548311362447,0.005846769053857393,347.0
Spatial,C,ACCIDENT,validation,0.12312857813883708,0.00937701859216122,0.45634920634920634,0.14102663209457827,0.1921049980409796,0.017694245129438093,84.0
Spatial,C,NORMAL,test,0.6749175464213056,0.011089655252338657,0.3365695792880259,0.10341211141717792,0.44319429120317055,0.09905833743452254,515.0
Spatial,C,NORMAL,train,0.6843766365145686,0.004712288439074018,0.2946629585485366,0.0815084825442929,0.40730076319938496,0.08411842467573809,2517.0
Spatial,C,NORMAL,validation,0.6861932600481238,0.008398734888831597,0.32301153612629024,0.07298107687342667,0.43628442379661897,0.06989590605744056,549.0
