class,precision,recall,f1-score,support,split_scheme,seed
NORMAL,0.6769911504424779,0.5656192236598891,0.6163141993957704,541.0,Grouped-random,42
ACCIDENT,0.14285714285714285,0.06756756756756757,0.09174311926605505,74.0,Grouped-random,42
OTHER_DISRUPTION,0.255663430420712,0.43646408839779005,0.3224489795918367,181.0,Grouped-random,42
accuracy,0.4899497487437186,0.4899497487437186,0.4899497487437186,0.4899497487437186,Grouped-random,42
macro avg,0.35850390790677755,0.3565502932084155,0.3435020994178874,796.0,Grouped-random,42
weighted avg,0.5315310576218064,0.48994974874371866,0.500726429654425,796.0,Grouped-random,42
NORMAL,0.6808510638297872,0.5914972273567468,0.6330365974282888,541.0,Grouped-random,52
ACCIDENT,0.06896551724137931,0.02702702702702703,0.038834951456310676,74.0,Grouped-random,52
OTHER_DISRUPTION,0.26262626262626265,0.430939226519337,0.3263598326359833,181.0,Grouped-random,52
accuracy,0.5025125628140703,0.5025125628140703,0.5025125628140703,0.5025125628140703,Grouped-random,52
macro avg,0.3374809478991431,0.349821160301037,0.33274379384019426,796.0,Grouped-random,52
weighted avg,0.5288683760592092,0.5025125628140703,0.5080624564366635,796.0,Grouped-random,52
NORMAL,0.6857142857142857,0.5767097966728281,0.6265060240963856,541.0,Grouped-random,62
ACCIDENT,0.1951219512195122,0.10810810810810811,0.1391304347826087,74.0,Grouped-random,62
OTHER_DISRUPTION,0.24333333333333335,0.40331491712707185,0.30353430353430355,181.0,Grouped-random,62
accuracy,0.4937185929648241,0.4937185929648241,0.4937185929648241,0.4937185929648241,Grouped-random,62
macro avg,0.37472319008904376,0.3627109406360027,0.3563902541377659,796.0,Grouped-random,62
weighted avg,0.5395148069032737,0.4937185929648241,0.5077576886303601,796.0,Grouped-random,62
NORMAL,0.695054945054945,0.4912621359223301,0.5756541524459613,515.0,Spatial holdout,42
ACCIDENT,0.12,0.04054054054054054,0.06060606060606061,74.0,Spatial holdout,42
OTHER_DISRUPTION,0.24795640326975477,0.5449101796407185,0.3408239700374532,167.0,Spatial holdout,42
accuracy,0.458994708994709,0.458994708994709,0.458994708994709,0.458994708994709,Spatial holdout,42
macro avg,0.3543371161082332,0.358904285367863,0.32569472769649166,756.0,Spatial holdout,42
weighted avg,0.5400026667319389,0.458994708994709,0.4733655290883244,756.0,Spatial holdout,42
NORMAL,0.6912928759894459,0.5087378640776699,0.5861297539149888,515.0,Spatial holdout,52
ACCIDENT,0.07142857142857142,0.013513513513513514,0.022727272727272728,74.0,Spatial holdout,52
OTHER_DISRUPTION,0.25068870523415976,0.5449101796407185,0.3433962264150943,167.0,Spatial holdout,52
accuracy,0.46825396825396826,0.46825396825396826,0.46825396825396826,0.46825396825396826,Spatial holdout,52
macro avg,0.33780338421739237,0.3557205190773007,0.31741775101911857,756.0,Spatial holdout,52
weighted avg,0.5332890994634704,0.46825396825396826,0.47736218420550025,756.0,Spatial holdout,52
NORMAL,0.6804407713498623,0.4796116504854369,0.5626423690205011,515.0,Spatial holdout,62
ACCIDENT,0.0625,0.013513513513513514,0.022222222222222223,74.0,Spatial holdout,62
OTHER_DISRUPTION,0.23872679045092837,0.5389221556886228,0.33088235294117646,167.0,Spatial holdout,62
accuracy,0.4470899470899471,0.4470899470899471,0.4470899470899471,0.4470899470899471,Spatial holdout,62
macro avg,0.3272225206002635,0.3440157732291911,0.3052489813946333,756.0,Spatial holdout,62
weighted avg,0.5223801207016986,0.4470899470899471,0.4585484357555278,756.0,Spatial holdout,62
