split_scheme,seed,partition,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Grouped-random,42,train,0.7270013568521031,0.748536719501463,0.7007857842233053,0.748536719501463,0.6981298864065244,0.7428775715858272
Grouped-random,42,validation,0.4630102040816326,0.3294203145791395,0.32501642359742483,0.3294203145791395,0.31786090554013774,0.4802685051240663
Grouped-random,42,test,0.4899497487437186,0.3565502932084155,0.35850390790677755,0.3565502932084155,0.3435020994178874,0.500726429654425
Grouped-random,52,train,0.748168249660787,0.767314166875339,0.7341830274086144,0.767314166875339,0.7260292237839135,0.763258823035574
Grouped-random,52,validation,0.475765306122449,0.33060629840663275,0.32721706977026127,0.33060629840663275,0.32120173641140354,0.4894613570806653
Grouped-random,52,test,0.5025125628140703,0.349821160301037,0.3374809478991431,0.349821160301037,0.33274379384019426,0.5080624564366635
Grouped-random,62,train,0.7289009497964721,0.7510822051093832,0.7036721657585049,0.7510822051093832,0.7026693887105524,0.7449982780480765
Grouped-random,62,validation,0.4630102040816326,0.3325367634514995,0.3361531986531987,0.3325367634514995,0.3259026150760173,0.4800244816938945
Grouped-random,62,test,0.4937185929648241,0.3627109406360027,0.37472319008904376,0.3627109406360027,0.3563902541377659,0.5077576886303601
Spatial holdout,42,train,0.8042128004320821,0.8347586078451353,0.7910862731161066,0.8347586078451353,0.7926524994123852,0.815955281714107
Spatial holdout,42,validation,0.5223325062034739,0.36696052227180814,0.37041891937055405,0.36696052227180814,0.3609488699067483,0.5317308679600441
Spatial holdout,42,test,0.458994708994709,0.358904285367863,0.3543371161082332,0.358904285367863,0.32569472769649166,0.4733655290883244
Spatial holdout,52,train,0.837159060221442,0.8624053840226518,0.8443348165895529,0.8624053840226518,0.8321488019533619,0.8480879911447702
Spatial holdout,52,validation,0.5459057071960298,0.36181529162198167,0.391948797740228,0.36181529162198167,0.35600093456579196,0.5414512775509304
Spatial holdout,52,test,0.46825396825396826,0.3557205190773007,0.33780338421739237,0.3557205190773007,0.31741775101911857,0.47736218420550025
Spatial holdout,62,train,0.8206859303267621,0.8489960869354481,0.8147216158871924,0.8489960869354481,0.811603247851842,0.831868845178472
Spatial holdout,62,validation,0.5272952853598015,0.3653062370488695,0.36788247404561947,0.3653062370488695,0.35684166964767944,0.5327582647848352
Spatial holdout,62,test,0.4470899470899471,0.3440157732291911,0.3272225206002635,0.3440157732291911,0.3052489813946333,0.4585484357555278
