split_scheme,feature,mean,std
Grouped-random,cumulative_post_change,0.040636119065896356,0.0005140606272873365
Grouped-random,logflow_m1,0.027356088504143256,0.000535169540918777
Grouped-random,logflow_m2,0.025049594767337802,0.001234414067227012
Grouped-random,logflow_m3,0.030595677631133217,0.0010300789772290958
Grouped-random,logflow_p1,0.030202231685446418,0.000586373822147874
Grouped-random,logflow_p2,0.03302089734862954,0.0007955051627010776
Grouped-random,logflow_p3,0.029110649401731973,0.0005953058800288014
Grouped-random,logflow_t0,0.029575762901710986,0.001516077084254043
Grouped-random,max_abs_change,0.03433725867025476,0.0015076144119945164
Grouped-random,max_drop,0.040802929974039594,0.001511579811798737
Grouped-random,max_rise,0.03740746185232446,0.0012458372222054134
Grouped-random,mean_shift,0.03707314170554738,0.00048770926959167024
Grouped-random,onset_jump,0.04711307262091957,0.0009937069389294863
Grouped-random,post_mean,0.026800552149357337,0.0005491841917327102
Grouped-random,post_slope,0.03966064496705876,0.0010164060221349942
Grouped-random,pre_mean,0.021441178026459146,0.0010599220554008736
Grouped-random,pre_median,0.023861208877515406,0.0006966069466715324
Grouped-random,pre_slope,0.043448425835322595,0.0011131987077104537
Grouped-random,relchg_m1,0.049683554096594924,0.0014454679832797029
Grouped-random,relchg_m2,0.020174688588824992,0.0025868268912440364
Grouped-random,relchg_m3,0.048881666779803344,0.001440708354548502
Grouped-random,relchg_p1,0.041146975164927664,0.0011843765151263578
Grouped-random,relchg_p2,0.034102582319951766,0.001439832664271867
Grouped-random,relchg_p3,0.02986617745146583,0.0007275372425474389
Grouped-random,relchg_t0,0.04088341863460318,0.0002629987328979916
Grouped-random,window_max,0.024310319922941703,0.000969205545602997
Grouped-random,window_mean,0.030328939978704606,0.0019716251869626978
Grouped-random,window_min,0.02923174082320604,0.0016842650029222762
Grouped-random,window_range,0.02564831040179415,5.951204472017192e-05
Grouped-random,window_std,0.028248729852353317,0.0004409765642045691
Spatial holdout,cumulative_post_change,0.036281449322010335,0.0022980462815533104
Spatial holdout,logflow_m1,0.03125992342231597,0.002322457741542115
Spatial holdout,logflow_m2,0.02729306792723499,0.00323660378730939
Spatial holdout,logflow_m3,0.026794597018470104,0.0017873618954429022
Spatial holdout,logflow_p1,0.03374403019904449,0.0007345384882917042
Spatial holdout,logflow_p2,0.035868039283539724,0.0005757689063859011
Spatial holdout,logflow_p3,0.02995433304655147,0.0014898405822845085
Spatial holdout,logflow_t0,0.03036198168081281,0.001328721226293393
Spatial holdout,max_abs_change,0.03573730885611001,0.0007818978949933822
Spatial holdout,max_drop,0.03929763807838887,0.004613299306395772
Spatial holdout,max_rise,0.03609879345151299,0.0013421682477546242
Spatial holdout,mean_shift,0.03708037271534873,0.0012429177863518051
Spatial holdout,onset_jump,0.036813989988208264,0.0027999012542808963
Spatial holdout,post_mean,0.033212610015232374,0.002388739011545571
Spatial holdout,post_slope,0.03641489409724841,0.0003300268118346446
Spatial holdout,pre_mean,0.028933631254609935,0.002800822071160835
Spatial holdout,pre_median,0.02597729185104536,0.003477242632646482
Spatial holdout,pre_slope,0.036610490090519913,0.0015723147981239183
Spatial holdout,relchg_m1,0.04200020938427434,0.006527473587071655
Spatial holdout,relchg_m2,0.021497855330651492,0.003967964497092908
Spatial holdout,relchg_m3,0.04658032559967848,0.006554926675856677
Spatial holdout,relchg_p1,0.038909026823561337,0.003199867239188021
Spatial holdout,relchg_p2,0.03645867658115461,0.0015658854183635282
Spatial holdout,relchg_p3,0.02959311794001014,0.0009028831766699013
Spatial holdout,relchg_t0,0.03894495200509318,0.0038521952467576673
Spatial holdout,window_max,0.027085051032753993,0.004277630454454081
Spatial holdout,window_mean,0.03207704669536851,0.001557977275041538
Spatial holdout,window_min,0.029588836266126222,0.0015127129660721076
Spatial holdout,window_range,0.028046295738400766,0.0033022605369135444
Spatial holdout,window_std,0.031484164304722284,0.0025756272470481814
