feature,importance
rel_change_p2_to_p3,0.036379819181407536
rel_change_p1_to_p2,0.03603428563498617
rel_change_m3_to_m2,0.03515912068551235
diff_p1_to_p2,0.0336521052633763
rel_change_m1_to_t0,0.03278259606815558
rel_change_t0_to_p1,0.03189828346562544
response_pre_ratio,0.03183757607978233
response_slope,0.031109709942901253
mean_shift,0.03090446886132364
rel_change_m2_to_m1,0.030755767139855124
max_drop,0.03006105652442093
pre_slope,0.02972233659212024
diff_p2_to_p3,0.029482184978136837
cumulative_post_change,0.029385389587129527
diff_m3_to_m2,0.02878756169322583
max_abs_change,0.028458083657877928
diff_m2_to_m1,0.028404090249102995
diff_m1_to_t0,0.0279651621148526
log1p_flow_t_minus_3,0.027796665648054133
response_mean,0.027271839946551045
log1p_flow_t0,0.027100203455161787
onset_jump,0.02693940196450882
log1p_flow_t_plus_2,0.02662582034220225
window_mean,0.026607558208121933
log1p_flow_t_minus_1,0.02644793760966254
diff_t0_to_p1,0.026337774178190297
max_rise,0.026003090066701692
window_std,0.02547179924264558
window_min,0.02527741832185438
window_range,0.025254676256205196
log1p_flow_t_minus_2,0.025194345198956025
log1p_flow_t_plus_3,0.02419278552055991
pre_mean,0.023703450678274566
log1p_flow_t_plus_1,0.023605262060717596
window_max,0.02339037358183974
