feature,importance
response_slope,0.10531058968910366
log_flow_p2,0.10389925199755161
max_abs_relative_change,0.10340595902532139
rel_change_m3,0.0928683034720506
log_flow_m2,0.07632712456108999
rel_change_p1,0.07302235183414345
rel_change_p0,0.05580525875734584
pre_slope,0.0516784266076171
log_flow_m1,0.0475828606292921
pre_mean,0.03997160435785779
log_flow_p3,0.03635390317007343
rel_change_m1,0.03354831594941598
log_flow_p1,0.031297493640455754
response_min,0.030568312326065904
mean_shift,0.030059671270168325
response_mean,0.026378316802155778
rel_change_m2,0.019529642676492164
log_flow_m3,0.015490830336367705
log_flow_p0,0.014525226878091142
rel_change_p3,0.01237655601934027
rel_change_p2,0.0
