max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iteration,best_validation_mlogloss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
3,0.03,5,0.8,0.8,0.0,2.0,1107,1.0500159606679667,0.4145408163265306,0.3170941803996497,0.3233551719965495,0.3170941803996497,0.3067937329149429,0.445444585191608
3,0.03,5,0.8,0.8,0.5,2.0,1235,1.047482725213833,0.413265306122449,0.31159894002979743,0.3178795408827358,0.31159894002979743,0.30213396533751785,0.44322686479820844
3,0.03,15,0.8,0.8,0.0,2.0,1087,1.0510190025504147,0.40688775510204084,0.31969975092974856,0.32533862746754527,0.31969975092974856,0.30573128382276443,0.4401089093063081
3,0.03,15,0.8,0.8,0.5,2.0,1120,1.0530085753535434,0.4017857142857143,0.3120807033107009,0.31958689458689465,0.3120807033107009,0.3002555796808882,0.4352649695879177
3,0.07,5,0.8,0.8,0.0,2.0,640,1.0444066775392513,0.41964285714285715,0.31394179262342625,0.31830982546504116,0.31394179262342625,0.3022630767884901,0.44804732085091264
3,0.07,5,0.8,0.8,0.5,2.0,619,1.0422550306218314,0.40688775510204084,0.30151034380793157,0.3079663755896818,0.30151034380793157,0.290408515756291,0.43598537891632055
3,0.07,15,0.8,0.8,0.0,2.0,672,1.0440036712632494,0.4107142857142857,0.3285304855163943,0.3334814725769368,0.3285304855163943,0.3156003513796101,0.4420587272489927
3,0.07,15,0.8,0.8,0.5,2.0,640,1.044665494724652,0.40561224489795916,0.31779498902498665,0.32230832705485596,0.31779498902498665,0.3043022089324588,0.4365245408015525
5,0.03,5,0.8,0.8,0.0,2.0,807,1.016528071797624,0.4387755102040816,0.30423828858029955,0.3127071918043368,0.30423828858029955,0.3011189638506042,0.46045704634782
5,0.03,5,0.8,0.8,0.5,2.0,672,1.0211450817937753,0.43239795918367346,0.3015676640849796,0.30553960659223817,0.3015676640849796,0.29459037525430043,0.45512908315247813
5,0.03,15,0.8,0.8,0.0,2.0,672,1.0298314556023296,0.4362244897959184,0.33288932864762816,0.3361299778179574,0.33288932864762816,0.32191735896139956,0.4630866858751753
5,0.03,15,0.8,0.8,0.5,2.0,660,1.0291165136447062,0.4221938775510204,0.31368680837512936,0.31915163411539266,0.31368680837512936,0.3043826526256255,0.44870638988800254
5,0.07,5,0.8,0.8,0.0,2.0,289,1.0210281917160111,0.4298469387755102,0.30772777417630537,0.3115143576308625,0.30772777417630537,0.29928673360252994,0.452323816292552
5,0.07,5,0.8,0.8,0.5,2.0,290,1.0238599135749498,0.43112244897959184,0.31553766192409616,0.3212061028544519,0.31553766192409616,0.30789923734829444,0.4547595519428585
5,0.07,15,0.8,0.8,0.0,2.0,381,1.0308832706484412,0.42091836734693877,0.3020494273658831,0.30725923271060135,0.3020494273658831,0.2939618672849075,0.4454652604914398
5,0.07,15,0.8,0.8,0.5,2.0,289,1.0284646996772107,0.41709183673469385,0.3063047755524469,0.31182905305475433,0.3063047755524469,0.2973340659161052,0.4445389169958721
