class,precision,recall,f1-score,support,split_scheme,seed
NORMAL,0.6804123711340206,0.4879852125693161,0.5683530678148547,541.0,Grouped-random,42
ACCIDENT,0.13333333333333333,0.10810810810810811,0.11940298507462686,74.0,Grouped-random,42
OTHER_DISRUPTION,0.23275862068965517,0.44751381215469616,0.30623818525519847,181.0,Grouped-random,42
accuracy,0.4434673366834171,0.4434673366834171,0.4434673366834171,0.4434673366834171,Grouped-random,42
macro avg,0.3488347750523364,0.3478690442773735,0.33133141271489336,796.0,Grouped-random,42
weighted avg,0.5277626504962304,0.4434673366834171,0.4670150026564695,796.0,Grouped-random,42
NORMAL,0.6961038961038961,0.4953789279112754,0.5788336933045356,541.0,Grouped-random,52
ACCIDENT,0.1724137931034483,0.13513513513513514,0.15151515151515152,74.0,Grouped-random,52
OTHER_DISRUPTION,0.2521246458923513,0.49171270718232046,0.3333333333333333,181.0,Grouped-random,52
accuracy,0.4610552763819096,0.4610552763819096,0.4610552763819096,0.4610552763819096,Grouped-random,52
macro avg,0.3735474450332319,0.37407559007624364,0.3545607260510068,796.0,Grouped-random,52
weighted avg,0.546464057020576,0.4610552763819096,0.4832845259085531,796.0,Grouped-random,52
NORMAL,0.7040816326530612,0.5101663585951941,0.5916398713826366,541.0,Grouped-random,62
ACCIDENT,0.18181818181818182,0.13513513513513514,0.15503875968992248,74.0,Grouped-random,62
OTHER_DISRUPTION,0.25501432664756446,0.49171270718232046,0.33584905660377357,181.0,Grouped-random,62
accuracy,0.47110552763819097,0.47110552763819097,0.47110552763819097,0.47110552763819097,Grouped-random,62
macro avg,0.38030471370626917,0.3790047336375499,0.3608425625587775,796.0,Grouped-random,62
weighted avg,0.5534174646269607,0.47110552763819097,0.49288783653309504,796.0,Grouped-random,62
NORMAL,0.6645569620253164,0.4077669902912621,0.5054151624548736,515.0,Spatial holdout,42
ACCIDENT,0.043478260869565216,0.013513513513513514,0.020618556701030927,74.0,Spatial holdout,42
OTHER_DISRUPTION,0.23261390887290168,0.5808383233532934,0.3321917808219178,167.0,Spatial holdout,42
accuracy,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,Spatial holdout,42
macro avg,0.3135497105892611,0.33403960905268965,0.2860751666592741,756.0,Spatial holdout,42
weighted avg,0.5083475522872491,0.4074074074074074,0.4196965730917943,756.0,Spatial holdout,42
NORMAL,0.6624605678233438,0.4077669902912621,0.5048076923076923,515.0,Spatial holdout,52
ACCIDENT,0.038461538461538464,0.013513513513513514,0.02,74.0,Spatial holdout,52
OTHER_DISRUPTION,0.23486682808716708,0.5808383233532934,0.33448275862068966,167.0,Spatial holdout,52
accuracy,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,Spatial holdout,52
macro avg,0.31192964479068314,0.33403960905268965,0.2864301503094607,756.0,Spatial holdout,52
weighted avg,0.5069260668858899,0.4074074074074074,0.4197282833705248,756.0,Spatial holdout,52
NORMAL,0.6520376175548589,0.40388349514563104,0.4988009592326139,515.0,Spatial holdout,62
ACCIDENT,0.0,0.0,0.0,74.0,Spatial holdout,62
OTHER_DISRUPTION,0.23205741626794257,0.5808383233532934,0.3316239316239316,167.0,Spatial holdout,62
accuracy,0.40343915343915343,0.40343915343915343,0.40343915343915343,0.40343915343915343,Spatial holdout,62
macro avg,0.2946983446076005,0.3282406061663082,0.27680829695218184,756.0,Spatial holdout,62
weighted avg,0.4954404253406068,0.40343915343915343,0.4130472097698317,756.0,Spatial holdout,62
