feature,importance
window_mean,0.032028764
response_slope,0.031813025
max_abs_change,0.031218488
response_mean,0.030861346
log1p_flow_t0,0.030313585
response_pre_ratio,0.030158777
max_rise,0.029704614
pre_mean,0.029673358
diff_p1_to_p2,0.029086493
log1p_flow_t_minus_3,0.029085329
rel_change_p2_to_p3,0.029051017
log1p_flow_t_plus_2,0.029026126
log1p_flow_t_minus_2,0.02900642
window_max,0.02877629
rel_change_p1_to_p2,0.028562687
window_min,0.028465364
window_std,0.028393507
onset_jump,0.02833038
diff_m1_to_t0,0.028304154
log1p_flow_t_minus_1,0.028184066
rel_change_m1_to_t0,0.028177084
mean_shift,0.028069507
cumulative_post_change,0.028043097
log1p_flow_t_plus_3,0.028031532
rel_change_t0_to_p1,0.027917944
rel_change_m3_to_m2,0.027641622
max_drop,0.027609415
window_range,0.027374692
log1p_flow_t_plus_1,0.027190614
diff_m2_to_m1,0.026895776
pre_slope,0.026860803
rel_change_m2_to_m1,0.02670547
diff_p2_to_p3,0.026630083
diff_t0_to_p1,0.026408693
diff_m3_to_m2,0.026399912
