max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,best_iteration,best_validation_mlogloss,accuracy,balanced_accuracy,macro_f1,weighted_f1
3,0.03,5,0.8,0.8,0.0,2.0,672,1.0574794451953198,0.3903061224489796,0.30155401639996815,0.290035712708173,0.4226949403025432
3,0.03,5,0.8,0.8,0.5,2.0,672,1.0584835897066764,0.3826530612244898,0.2990562625814596,0.28649471375341656,0.41681075180495475
3,0.03,15,0.8,0.8,0.0,2.0,672,1.0625795001278118,0.3903061224489796,0.29947638381839475,0.2870176227815877,0.4235793143233302
3,0.03,15,0.8,0.8,0.5,2.0,1090,1.0513796491586431,0.4107142857142857,0.3118539242780944,0.3001036174832543,0.440141140662152
3,0.07,5,0.8,0.8,0.0,2.0,644,1.0417288173921406,0.4272959183673469,0.3041552651631467,0.29458011034975257,0.44924877315553974
3,0.07,5,0.8,0.8,0.5,2.0,298,1.0538463096077344,0.3903061224489796,0.3002781853128163,0.28940558693839774,0.42240906674420536
3,0.07,15,0.8,0.8,0.0,2.0,298,1.0571335903463923,0.38010204081632654,0.30394054158563355,0.2889985633362811,0.4131120563250896
3,0.07,15,0.8,0.8,0.5,2.0,298,1.0559939844343735,0.39158163265306123,0.3098379337404893,0.2946743939655611,0.42419382791788696
5,0.03,5,0.8,0.8,0.0,2.0,665,1.024622486562145,0.45790816326530615,0.30672830871063494,0.2996889097173078,0.47191613179625314
5,0.03,5,0.8,0.8,0.5,2.0,615,1.0219962074592406,0.4502551020408163,0.30885984964800345,0.3044516412038465,0.46745862099389135
5,0.03,15,0.8,0.8,0.0,2.0,656,1.0287662139162421,0.4272959183673469,0.30750872883187186,0.3004754758426879,0.4518150248086722
5,0.03,15,0.8,0.8,0.5,2.0,698,1.028374694781948,0.42857142857142855,0.3106893218237856,0.3026327859937818,0.4531267320738275
5,0.07,5,0.8,0.8,0.0,2.0,259,1.0229194639250636,0.44642857142857145,0.3010679313521444,0.29461582087846055,0.46466199907308114
5,0.07,5,0.8,0.8,0.5,2.0,300,1.0256530090843385,0.4451530612244898,0.30275364791247283,0.2973155258140174,0.4624059017694077
5,0.07,15,0.8,0.8,0.0,2.0,300,1.0318276834275042,0.4298469387755102,0.30749075937994014,0.3011895619701555,0.45534319907662213
5,0.07,15,0.8,0.8,0.5,2.0,267,1.0336576121460115,0.4247448979591837,0.3060138524002866,0.3007139304210434,0.4514735115452389
