event_sample_id,station_id,anchor_time,window_start,window_end,target_class,split_group_id,sample_type,flow_t_minus_3,flow_t_minus_2,flow_t_minus_1,flow_t0,flow_t_plus_1,flow_t_plus_2,flow_t_plus_3,all_zero_flow_window
INCIDENT__219427-webtirf__7120,7120,2025-01-01 04:00:00,2025-01-01 01:00:00,2025-01-01 07:00:00,OTHER_DISRUPTION,GROUP__7120__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
INCIDENT__219427-webtirf__7121,7121,2025-01-01 04:00:00,2025-01-01 01:00:00,2025-01-01 07:00:00,OTHER_DISRUPTION,GROUP__7121__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
INCIDENT__219440.0-webtirf__7168,7168,2025-01-01 11:00:00,2025-01-01 08:00:00,2025-01-01 14:00:00,OTHER_DISRUPTION,GROUP__7168__0001,INCIDENT,13.0,4.0,13.0,10.0,16.0,12.0,7.0,False
INCIDENT__219468-webtirf__F3FWY003,F3FWY003,2025-01-02 01:00:00,2025-01-01 22:00:00,2025-01-02 04:00:00,ACCIDENT,GROUP__F3FWY003__0001,INCIDENT,0.0,0.0,31.0,19.0,30.0,27.0,0.0,False
INCIDENT__219481-webtirf__7179,7179,2025-01-02 03:00:00,2025-01-02 00:00:00,2025-01-02 06:00:00,OTHER_DISRUPTION,GROUP__7179__0001,INCIDENT,21.0,30.0,33.0,34.0,73.0,105.0,160.0,False
INCIDENT__219564-webtirf__33014,33014,2025-01-04 00:00:00,2025-01-03 21:00:00,2025-01-04 03:00:00,OTHER_DISRUPTION,GROUP__33014__0001,INCIDENT,26.0,15.0,0.0,10.0,5.0,17.0,16.0,False
INCIDENT__219601-webtirf__7123-PR,7123-PR,2025-01-04 19:00:00,2025-01-04 16:00:00,2025-01-04 22:00:00,OTHER_DISRUPTION,GROUP__7123-PR__0001,INCIDENT,477.0,530.0,400.0,336.0,401.0,395.0,292.0,False
INCIDENT__219613-webtirf__22001,22001,2025-01-05 05:00:00,2025-01-05 02:00:00,2025-01-05 08:00:00,OTHER_DISRUPTION,GROUP__22001__0001,INCIDENT,117.0,113.0,328.0,692.0,1131.0,1694.0,1684.0,False
INCIDENT__219630.0-webtirf__68025,68025,2025-01-05 21:00:00,2025-01-05 18:00:00,2025-01-06 00:00:00,OTHER_DISRUPTION,GROUP__68025__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
INCIDENT__219630.0-webtirf__7164,7164,2025-01-05 21:00:00,2025-01-05 18:00:00,2025-01-06 00:00:00,OTHER_DISRUPTION,GROUP__7164__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,12.0,False
INCIDENT__219630.0-webtirf__7179,7179,2025-01-05 21:00:00,2025-01-05 18:00:00,2025-01-06 00:00:00,OTHER_DISRUPTION,GROUP__7179__0002,INCIDENT,1416.0,1317.0,1159.0,1128.0,894.0,584.0,28.0,False
INCIDENT__219650.0-webtirf__F3FWY003,F3FWY003,2025-01-06 00:00:00,2025-01-05 21:00:00,2025-01-06 03:00:00,OTHER_DISRUPTION,GROUP__F3FWY003__0003,INCIDENT,0.0,0.0,0.0,217.0,153.0,128.0,194.0,False
INCIDENT__219653-webtirf__9836-PR,9836-PR,2025-01-06 01:00:00,2025-01-05 22:00:00,2025-01-06 04:00:00,ACCIDENT,GROUP__9836-PR__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
INCIDENT__219663-webtirf__7248,7248,2025-01-06 02:00:00,2025-01-05 23:00:00,2025-01-06 05:00:00,OTHER_DISRUPTION,GROUP__7248__0001,INCIDENT,296.0,71.0,42.0,52.0,54.0,97.0,204.0,False
INCIDENT__219668-webtirf__7163,7163,2025-01-06 03:00:00,2025-01-06 00:00:00,2025-01-06 06:00:00,OTHER_DISRUPTION,GROUP__7163__0001,INCIDENT,83.0,70.0,49.0,63.0,98.0,230.0,517.0,False
