station_id,timestamp,row_count,n_unique_flow,min_flow,max_flow,flow_values,n_unique_incident_id,incident_ids,date
100001,2025-10-21,2,2,184.0,240.0,"[184.0, 240.0]",1,['NO_INCIDENT'],2025-10-21
23067,2025-10-21,2,2,20.0,201.0,"[20.0, 201.0]",1,['NO_INCIDENT'],2025-10-21
29005,2025-10-21,2,2,58.0,669.0,"[58.0, 669.0]",1,['NO_INCIDENT'],2025-10-21
34016,2025-10-21,2,2,0.0,50.0,"[0.0, 50.0]",1,['NO_INCIDENT'],2025-10-21
47024,2025-10-21,2,2,39.0,800.0,"[39.0, 800.0]",1,['NO_INCIDENT'],2025-10-21
50260,2025-10-21,2,2,40.0,339.0,"[40.0, 339.0]",1,['NO_INCIDENT'],2025-10-21
53003,2025-10-21,2,2,36.0,127.0,"[36.0, 127.0]",1,['NO_INCIDENT'],2025-10-21
53004,2025-10-21,2,2,60.0,126.0,"[60.0, 126.0]",1,['NO_INCIDENT'],2025-10-21
55049,2025-10-21,2,2,14.0,47.0,"[14.0, 47.0]",1,['NO_INCIDENT'],2025-10-21
57025,2025-10-21,24,2,2.0,12.0,"[2.0, 12.0]",2,"['253250-webtirf', '253250.0-webtirf']",2025-10-21
66249,2025-10-21,2,2,8.0,140.0,"[8.0, 140.0]",1,['NO_INCIDENT'],2025-10-21
7112,2025-10-21,2,2,18.0,160.0,"[18.0, 160.0]",1,['NO_INCIDENT'],2025-10-21
7120,2025-10-21,2,2,12.0,93.0,"[12.0, 93.0]",1,['NO_INCIDENT'],2025-10-21
7123-PR,2025-10-21,2,2,10.0,147.0,"[10.0, 147.0]",1,['NO_INCIDENT'],2025-10-21
7126,2025-10-21,2,2,6.0,16.0,"[6.0, 16.0]",1,['NO_INCIDENT'],2025-10-21
7153,2025-10-21,2,2,35.0,115.0,"[35.0, 115.0]",1,['NO_INCIDENT'],2025-10-21
7159,2025-10-21,2,2,32.0,168.0,"[32.0, 168.0]",1,['NO_INCIDENT'],2025-10-21
7162,2025-10-21,2,2,11.0,50.0,"[11.0, 50.0]",1,['NO_INCIDENT'],2025-10-21
7163,2025-10-21,2,2,12.0,65.0,"[12.0, 65.0]",1,['NO_INCIDENT'],2025-10-21
7164,2025-10-21,2,2,31.0,126.0,"[31.0, 126.0]",1,['NO_INCIDENT'],2025-10-21
7184,2025-10-21,2,2,25.0,142.0,"[25.0, 142.0]",1,['NO_INCIDENT'],2025-10-21
72027,2025-10-21,2,2,5.0,120.0,"[5.0, 120.0]",1,['NO_INCIDENT'],2025-10-21
7248,2025-10-21,2,2,53.0,137.0,"[53.0, 137.0]",1,['NO_INCIDENT'],2025-10-21
7274,2025-10-21,2,2,23.0,102.0,"[23.0, 102.0]",1,['NO_INCIDENT'],2025-10-21
74228,2025-10-21,2,2,12.0,76.0,"[12.0, 76.0]",1,['NO_INCIDENT'],2025-10-21
74229,2025-10-21,2,2,6.0,64.0,"[6.0, 64.0]",1,['NO_INCIDENT'],2025-10-21
74230,2025-10-21,2,2,7.0,69.0,"[7.0, 69.0]",1,['NO_INCIDENT'],2025-10-21
9658,2025-10-21,2,2,25.0,145.0,"[25.0, 145.0]",1,['NO_INCIDENT'],2025-10-21
9834-PR,2025-10-21,2,2,2.0,25.0,"[2.0, 25.0]",1,['NO_INCIDENT'],2025-10-21
9836-PR,2025-10-21,2,2,111.0,196.0,"[111.0, 196.0]",1,['NO_INCIDENT'],2025-10-21
9849,2025-10-21,2,2,45.0,80.0,"[45.0, 80.0]",1,['NO_INCIDENT'],2025-10-21
F3FWY001,2025-10-21,2,2,123.0,134.0,"[123.0, 134.0]",1,['NO_INCIDENT'],2025-10-21
F3FWY004,2025-10-21,2,2,35.0,105.0,"[35.0, 105.0]",1,['NO_INCIDENT'],2025-10-21
F3FWY005,2025-10-21,2,2,77.0,121.0,"[77.0, 121.0]",1,['NO_INCIDENT'],2025-10-21
T0085,2025-10-21,2,2,1.0,11.0,"[1.0, 11.0]",1,['NO_INCIDENT'],2025-10-21
T0231,2025-10-21,2,2,10.0,98.0,"[10.0, 98.0]",1,['NO_INCIDENT'],2025-10-21
T0337,2025-10-21,2,2,1.0,6.0,"[1.0, 6.0]",1,['NO_INCIDENT'],2025-10-21
T0342,2025-10-21,2,2,1.0,16.0,"[1.0, 16.0]",1,['NO_INCIDENT'],2025-10-21
T0345,2025-10-21,2,2,18.0,29.0,"[18.0, 29.0]",1,['NO_INCIDENT'],2025-10-21
T0479-PR,2025-10-21,2,2,77.0,215.0,"[77.0, 215.0]",1,['NO_INCIDENT'],2025-10-21
