station_id,timestamp,row_count,n_unique_flow,min_flow,max_flow,flow_values,n_unique_incident_id,incident_ids
100001,2025-06-27 00:00:00,4,1,414.0,414.0,[414.0],1,['240340.0-webtirf']
100001,2025-08-29 05:00:00,4,1,1788.0,1788.0,[1788.0],1,['247639-webtirf']
100001,2025-09-27 13:00:00,5,1,2628.0,2628.0,[2628.0],1,['250888-webtirf']
100001,2025-10-21 00:00:00,2,2,184.0,240.0,"[184.0, 240.0]",1,['NO_INCIDENT']
10011,2025-01-08 19:00:00,2,1,893.0,893.0,[893.0],1,['219957-webtirf']
10011,2025-01-17 21:00:00,2,1,826.0,826.0,[826.0],1,['221139-webtirf']
10011,2025-01-18 23:00:00,5,1,1852.0,1852.0,[1852.0],1,['221259-webtirf']
10011,2025-03-03 19:00:00,2,1,133.0,133.0,[133.0],1,['225542-webtirf']
10011,2025-03-13 19:00:00,8,1,1930.0,1930.0,[1930.0],1,['227415-webtirf']
10011,2025-03-13 20:00:00,6,1,1635.0,1635.0,[1635.0],1,['227415-webtirf']
10011,2025-03-13 21:00:00,5,1,1420.0,1420.0,[1420.0],1,['227415-webtirf']
10011,2025-03-13 22:00:00,2,1,1025.0,1025.0,[1025.0],1,['227415-webtirf']
10011,2025-03-18 12:00:00,5,1,4345.0,4345.0,[4345.0],1,['227875-webtirf']
10011,2025-03-18 13:00:00,2,1,4131.0,4131.0,[4131.0],1,['227875-webtirf']
10011,2025-03-18 14:00:00,2,1,4761.0,4761.0,[4761.0],1,['227875-webtirf']
10011,2025-03-19 02:00:00,4,1,13.0,13.0,[13.0],1,['227942-webtirf']
10011,2025-03-21 01:00:00,5,1,316.0,316.0,[316.0],1,['228203-webtirf']
10011,2025-03-21 02:00:00,3,1,287.0,287.0,[287.0],1,['228203-webtirf']
10011,2025-03-21 03:00:00,2,1,227.0,227.0,[227.0],1,['228203-webtirf']
10011,2025-03-28 07:00:00,2,1,2222.0,2222.0,[2222.0],1,['229247-webtirf']
22001,2025-01-05 05:00:00,2,1,1222.0,1222.0,[1222.0],1,['219613-webtirf']
22001,2025-03-16 10:00:00,2,1,2432.0,2432.0,[2432.0],1,['227659-webtirf']
23067,2025-01-06 03:00:00,2,1,1351.0,1351.0,[1351.0],1,['219670.0-webtirf']
23067,2025-01-07 04:00:00,2,1,1716.0,1716.0,[1716.0],1,['219807-webtirf']
23067,2025-01-10 16:00:00,12,1,3097.0,3097.0,[3097.0],1,['220191-webtirf']
23067,2025-01-10 17:00:00,7,1,2882.0,2882.0,[2882.0],1,['220191-webtirf']
23067,2025-01-10 18:00:00,6,1,2422.0,2422.0,[2422.0],1,['220191-webtirf']
23067,2025-01-10 19:00:00,5,1,1740.0,1740.0,[1740.0],1,['220191-webtirf']
23067,2025-01-10 20:00:00,3,1,1985.0,1985.0,[1985.0],1,['220191-webtirf']
23067,2025-01-21 05:00:00,2,1,2784.0,2784.0,[2784.0],1,['221498-webtirf']
23067,2025-01-24 04:00:00,2,1,2112.0,2112.0,[2112.0],1,['221794-webtirf']
23067,2025-03-05 21:00:00,2,1,1625.0,1625.0,[1625.0],1,['225822-webtirf']
23067,2025-03-10 03:00:00,2,1,1219.0,1219.0,[1219.0],1,['226899-webtirf']
23067,2025-03-11 01:00:00,11,1,293.0,293.0,[293.0],1,['227036-webtirf']
23067,2025-03-11 02:00:00,7,1,735.0,735.0,[735.0],1,['227036-webtirf']
23067,2025-03-11 03:00:00,5,1,1345.0,1345.0,[1345.0],1,['227036-webtirf']
23067,2025-03-11 04:00:00,5,1,2222.0,2222.0,[2222.0],1,['227036-webtirf']
23067,2025-03-11 05:00:00,3,1,3006.0,3006.0,[3006.0],1,['227036-webtirf']
23067,2025-03-11 06:00:00,2,1,3608.0,3608.0,[3608.0],1,['227036-webtirf']
23067,2025-03-14 04:00:00,4,1,2298.0,2298.0,[2298.0],1,['227483-webtirf']
23067,2025-03-27 22:00:00,2,1,976.0,976.0,[976.0],1,['229038-webtirf']
23067,2025-04-08 06:00:00,3,1,3454.0,3454.0,[3454.0],1,['230717-webtirf']
23067,2025-04-09 12:00:00,2,1,0.0,0.0,[0.0],1,['230880.0-webtirf']
