match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
18479658,18479658,2025-01-01 00:00:00+00,9658,hour_00,,0,2025-01-01 00:00:00
17126147,17126147,2025-01-01 00:00:00+00,7126,hour_00,14.0,0,2025-01-01 00:00:00
17126147,17126147,2025-01-01 00:00:00+00,7126,hour_00,4.0,0,2025-01-01 00:00:00
17126149,17126149,2025-01-02 00:00:00+00,7126,hour_00,,0,2025-01-02 00:00:00
18479658,18479658,2025-01-02 00:00:00+00,9658,hour_00,5.0,0,2025-01-02 00:00:00
18479658,18479658,2025-01-02 00:00:00+00,9658,hour_00,15.0,0,2025-01-02 00:00:00
17126149,17126149,2025-01-02 00:00:00+00,7126,hour_00,,0,2025-01-02 00:00:00
17126147,17126147,2025-01-02 00:00:00+00,7126,hour_00,3.0,0,2025-01-02 00:00:00
17126148,17126148,2025-01-02 00:00:00+00,7126,hour_00,41.0,0,2025-01-02 00:00:00
17126147,17126147,2025-01-02 00:00:00+00,7126,hour_00,6.0,0,2025-01-02 00:00:00
17126148,17126148,2025-01-02 00:00:00+00,7126,hour_00,30.0,0,2025-01-02 00:00:00
17126147,17126147,2025-01-02 00:00:00+00,7126,hour_00,2.0,0,2025-01-02 00:00:00
15334016,15334016,2025-01-02 00:00:00+00,34016,hour_00,4.0,0,2025-01-02 00:00:00
18479658,18479658,2025-01-02 00:00:00+00,9658,hour_00,40.0,0,2025-01-02 00:00:00
17126147,17126147,2025-01-02 00:00:00+00,7126,hour_00,4.0,0,2025-01-02 00:00:00
15334016,15334016,2025-01-02 00:00:00+00,34016,hour_00,123.0,0,2025-01-02 00:00:00
18479658,18479658,2025-01-02 00:00:00+00,9658,hour_00,2.0,0,2025-01-02 00:00:00
17126149,17126149,2025-01-03 00:00:00+00,7126,hour_00,4.0,0,2025-01-03 00:00:00
18479658,18479658,2025-01-03 00:00:00+00,9658,hour_00,1.0,0,2025-01-03 00:00:00
18479658,18479658,2025-01-03 00:00:00+00,9658,hour_00,28.0,0,2025-01-03 00:00:00
17126149,17126149,2025-01-03 00:00:00+00,7126,hour_00,159.0,0,2025-01-03 00:00:00
18479658,18479658,2025-01-03 00:00:00+00,9658,hour_00,3.0,0,2025-01-03 00:00:00
