Fwy Name	District	County	City	Abs PM	Length	station_id	Name	Type	Sensor Type	HOV	Road Width	Lane Width	Inner Shoulder Width	Outer Shoulder Width	Design Speed Limit	Inner Median Type	Inner Median Width	Terrain	Population	Barrier	Surface	Roadway Use	Lat	Lng	Direction	Fwy
SR1-N	12	Orange		12.401	2.695	1221176	REEF POINT DR	Mainline		No	22 ft	11.0 ft	0 ft	8 ft	50 mph	Paved - No Roadway Use	12 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.565462	-117.828018	N	1
SR1-N	12	Orange		12.791	0.485	1221170	CRYSTAL HEIGHTS	Mainline		No	22 ft	11.0 ft	0 ft	8 ft	50 mph	Paved - No Roadway Use	12 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.568992	-117.833412	N	1
SR1-N	12	Orange		13.371	1.825	1221163	1 NB LOS TRANCOS	Mainline		No	22 ft	11.0 ft	0 ft	8 ft	50 mph	Paved - No Roadway Use	12 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.575502	-117.839807	N	1
SR1-N	12	Orange	Newport Beach	16.441	1.825	1221148	1 NB AVOCADO AVE	Mainline		No	24 ft	12.0 ft	0 ft	8 ft	50 mph	Paved - Roadway Use	14 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.605811	-117.875914	N	1
SR1-N	12	Orange	Newport Beach	17.021	0.595	1221143	1 NB IRVINE TERRACE	Mainline		No	24 ft	12.0 ft	0 ft	8 ft	50 mph	Paved - Roadway Use	14 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.611026	-117.883525	N	1
SR1-N	12	Orange	Newport Beach	17.631	0.53	1221193	1 NB PROMONTORY PT	Mainline		No	24 ft	12.0 ft	0 ft	8 ft	50 mph	Paved - Roadway Use	14 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.613432	-117.893777	N	1
SR1-N	12	Orange	Newport Beach	18.081	0.61	1221136	1 NB BAYSIDE DRIVE	Mainline		No	24 ft	12.0 ft	0 ft	0 ft	50 mph	Paved - No Roadway Use	4 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"	No Special Features	33.61624	-117.900661	N	1
SR1-N	12	Orange	Newport Beach	18.851	0.725	1221131	1 NB BALBOA BAY	Mainline		No	27 ft	13.5 ft	0 ft	12 ft	50 mph	Paved - Roadway Use	8 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"		33.616119	-117.913843	N	1
SR1-N	12	Orange	Newport Beach	19.531	2.84	1221275	1 NB RIVERSIDE DR	Mainline		No	24 ft	12.0 ft	0 ft	20 ft	50 mph	Paved - No Roadway Use	18 ft	Flat	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"		33.620457	-117.924387	N	1
SR1-N	5	Monterey		322.865	2.713	500010011	CARMEL RIV BRIDGE HWY 1 NB VDS M	Mainline		No	12 ft	12.0 ft	0 ft	0 ft	45 mph	Striped	0 ft	Rolling	Urbanized	No Barriers	Bridge Deck	No Special Features	36.53585	-121.912881	N	1
SR1-N	5	Monterey		323.292	0.697	500010021	CARMEL VALLEY RD HWY 1 NB VDS ML	Mainline		No	13 ft	13.0 ft	0 ft	4 ft	45 mph	Striped	0 ft	Rolling	Urbanized	No Barriers	"Base & Surface >= 7"" Thick"		36.541075	-121.908778	N	1
