
============================================================
Running Strategy: GENERAL
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2773 (best inf)
    Epoch   2 | Val MAE 0.3271 (best 0.2773)
    Epoch   3 | Val MAE 0.2890 (best 0.2773)
    Epoch   5 | Val MAE 0.3209 (best 0.2655)
    Epoch   7 | Val MAE 0.2652 (best 0.2655)
    Epoch   9 | Val MAE 0.2641 (best 0.2652)
    Epoch  11 | Val MAE 0.2808 (best 0.2641)
    Epoch  13 | Val MAE 0.2623 (best 0.2641)
    Epoch  15 | Val MAE 0.2617 (best 0.2623)
    Epoch  17 | Val MAE 0.3423 (best 0.2617)
    Epoch  19 | Val MAE 0.2805 (best 0.2617)
    Epoch  21 | Val MAE 0.2506 (best 0.2546)
    Epoch  23 | Val MAE 0.2561 (best 0.2506)
    Epoch  25 | Val MAE 0.2757 (best 0.2506)
    Epoch  27 | Val MAE 0.4342 (best 0.2506)
    Epoch  29 | Val MAE 0.3308 (best 0.2506)
    Epoch  31 | Val MAE 0.2978 (best 0.2506)
    Epoch  33 | Val MAE 0.2799 (best 0.2506)
    Epoch  35 | Val MAE 0.2614 (best 0.2506)
    Val MAE avg: 0.2506  | Test MAE avg: 0.2347
  Seed 123 ...
    Epoch   1 | Val MAE 0.2799 (best inf)
    Epoch   2 | Val MAE 0.2489 (best 0.2799)
    Epoch   3 | Val MAE 0.2466 (best 0.2489)
    Epoch   5 | Val MAE 0.2310 (best 0.2386)
    Epoch   7 | Val MAE 0.2239 (best 0.2310)
    Epoch   9 | Val MAE 0.2354 (best 0.2239)
    Epoch  11 | Val MAE 0.2248 (best 0.2239)
    Epoch  13 | Val MAE 0.2280 (best 0.2239)
    Epoch  15 | Val MAE 0.2191 (best 0.2239)
    Epoch  17 | Val MAE 0.2241 (best 0.2191)
    Epoch  19 | Val MAE 0.2190 (best 0.2191)
    Epoch  21 | Val MAE 0.2187 (best 0.2190)
    Epoch  23 | Val MAE 0.2165 (best 0.2187)
    Epoch  25 | Val MAE 0.2270 (best 0.2165)
    Epoch  27 | Val MAE 0.2117 (best 0.2165)
    Epoch  29 | Val MAE 0.2236 (best 0.2117)
    Epoch  31 | Val MAE 0.2285 (best 0.2117)
    Epoch  33 | Val MAE 0.2191 (best 0.2117)
    Epoch  35 | Val MAE 0.2189 (best 0.2103)
    Epoch  37 | Val MAE 0.2090 (best 0.2103)
    Epoch  39 | Val MAE 0.2137 (best 0.2090)
    Epoch  41 | Val MAE 0.2135 (best 0.2090)
    Epoch  43 | Val MAE 0.2142 (best 0.2090)
    Epoch  45 | Val MAE 0.2201 (best 0.2090)
    Epoch  47 | Val MAE 0.2122 (best 0.2090)
    Epoch  49 | Val MAE 0.2143 (best 0.2090)
    Epoch  51 | Val MAE 0.2277 (best 0.2090)
    Val MAE avg: 0.2090  | Test MAE avg: 0.1980
  Seed 777 ...
    Epoch   1 | Val MAE 0.2769 (best inf)
    Epoch   2 | Val MAE 0.2739 (best 0.2769)
    Epoch   3 | Val MAE 0.2567 (best 0.2739)
    Epoch   5 | Val MAE 0.2370 (best 0.2567)
    Epoch   7 | Val MAE 0.2346 (best 0.2370)
    Epoch   9 | Val MAE 0.2317 (best 0.2332)
    Epoch  11 | Val MAE 0.2261 (best 0.2317)
    Epoch  13 | Val MAE 0.2303 (best 0.2261)
    Epoch  15 | Val MAE 0.2345 (best 0.2261)
    Epoch  17 | Val MAE 0.2279 (best 0.2261)
    Epoch  19 | Val MAE 0.2242 (best 0.2261)
    Epoch  21 | Val MAE 0.2373 (best 0.2222)
    Epoch  23 | Val MAE 0.2236 (best 0.2168)
    Epoch  25 | Val MAE 0.2212 (best 0.2168)
    Epoch  27 | Val MAE 0.2328 (best 0.2168)
    Epoch  29 | Val MAE 0.2183 (best 0.2168)
    Epoch  31 | Val MAE 0.2191 (best 0.2168)
    Epoch  33 | Val MAE 0.2261 (best 0.2168)
    Epoch  35 | Val MAE 0.2138 (best 0.2168)
    Epoch  37 | Val MAE 0.2249 (best 0.2138)
    Epoch  39 | Val MAE 0.2173 (best 0.2127)
    Epoch  41 | Val MAE 0.2200 (best 0.2127)
    Epoch  43 | Val MAE 0.2255 (best 0.2127)
    Epoch  45 | Val MAE 0.2171 (best 0.2127)
    Epoch  47 | Val MAE 0.2308 (best 0.2127)
    Epoch  49 | Val MAE 0.2140 (best 0.2127)
    Epoch  51 | Val MAE 0.2159 (best 0.2127)
    Epoch  53 | Val MAE 0.2147 (best 0.2127)
    Val MAE avg: 0.2127  | Test MAE avg: 0.2006

============================================================
Running Strategy: BINARY
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2652 (best inf)
    Epoch   2 | Val MAE 0.2660 (best 0.2652)
    Epoch   3 | Val MAE 0.2619 (best 0.2652)
    Epoch   5 | Val MAE 0.2441 (best 0.2527)
    Epoch   7 | Val MAE 0.2407 (best 0.2407)
    Epoch   9 | Val MAE 0.2405 (best 0.2347)
    Epoch  11 | Val MAE 0.2252 (best 0.2316)
    Epoch  13 | Val MAE 0.2793 (best 0.2252)
    Epoch  15 | Val MAE 0.2181 (best 0.2252)
    Epoch  17 | Val MAE 0.2323 (best 0.2181)
    Epoch  19 | Val MAE 0.2294 (best 0.2181)
    Epoch  21 | Val MAE 0.2344 (best 0.2181)
    Epoch  23 | Val MAE 0.2361 (best 0.2181)
    Epoch  25 | Val MAE 0.2268 (best 0.2181)
    Epoch  27 | Val MAE 0.2288 (best 0.2181)
    Epoch  29 | Val MAE 0.2301 (best 0.2181)
    Val MAE avg: 0.2181  | Test MAE avg: 0.2051
  Seed 123 ...
    Epoch   1 | Val MAE 0.2799 (best inf)
    Epoch   2 | Val MAE 0.2586 (best 0.2799)
    Epoch   3 | Val MAE 0.2580 (best 0.2586)
    Epoch   5 | Val MAE 0.2361 (best 0.2398)
    Epoch   7 | Val MAE 0.3444 (best 0.2318)
    Epoch   9 | Val MAE 0.2865 (best 0.2318)
    Epoch  11 | Val MAE 0.3009 (best 0.2318)
    Epoch  13 | Val MAE 0.3215 (best 0.2318)
    Epoch  15 | Val MAE 0.3187 (best 0.2318)
    Epoch  17 | Val MAE 0.3199 (best 0.2318)
    Epoch  19 | Val MAE 0.2660 (best 0.2318)
    Epoch  21 | Val MAE 0.2975 (best 0.2318)
    Val MAE avg: 0.2318  | Test MAE avg: 0.2176
  Seed 777 ...
    Epoch   1 | Val MAE 0.2760 (best inf)
    Epoch   2 | Val MAE 0.2850 (best 0.2760)
    Epoch   3 | Val MAE 0.2474 (best 0.2760)
    Epoch   5 | Val MAE 0.2559 (best 0.2397)
    Epoch   7 | Val MAE 0.2304 (best 0.2397)
    Epoch   9 | Val MAE 0.2230 (best 0.2304)
    Epoch  11 | Val MAE 0.2307 (best 0.2230)
    Epoch  13 | Val MAE 0.2476 (best 0.2230)
    Epoch  15 | Val MAE 0.2310 (best 0.2230)
    Epoch  17 | Val MAE 0.2687 (best 0.2224)
    Epoch  19 | Val MAE 0.2169 (best 0.2224)
    Epoch  21 | Val MAE 0.2260 (best 0.2169)
    Epoch  23 | Val MAE 0.2158 (best 0.2169)
    Epoch  25 | Val MAE 0.2233 (best 0.2158)
    Epoch  27 | Val MAE 0.2269 (best 0.2158)
    Epoch  29 | Val MAE 0.2342 (best 0.2158)
    Epoch  31 | Val MAE 0.2165 (best 0.2158)
    Epoch  33 | Val MAE 0.2211 (best 0.2152)
    Epoch  35 | Val MAE 0.2318 (best 0.2152)
    Epoch  37 | Val MAE 0.2216 (best 0.2152)
    Epoch  39 | Val MAE 0.2260 (best 0.2152)
    Epoch  41 | Val MAE 0.2231 (best 0.2152)
    Epoch  43 | Val MAE 0.2208 (best 0.2148)
    Epoch  45 | Val MAE 0.2155 (best 0.2148)
    Epoch  47 | Val MAE 0.2195 (best 0.2148)
    Epoch  49 | Val MAE 0.2219 (best 0.2148)
    Epoch  51 | Val MAE 0.2240 (best 0.2148)
    Epoch  53 | Val MAE 0.2186 (best 0.2148)
    Epoch  55 | Val MAE 0.2186 (best 0.2133)
    Epoch  57 | Val MAE 0.2111 (best 0.2133)
    Epoch  59 | Val MAE 0.2170 (best 0.2111)
    Epoch  61 | Val MAE 0.2163 (best 0.2111)
    Epoch  63 | Val MAE 0.2318 (best 0.2111)
    Epoch  65 | Val MAE 0.2159 (best 0.2111)
    Epoch  67 | Val MAE 0.2224 (best 0.2111)
    Epoch  69 | Val MAE 0.2136 (best 0.2111)
    Epoch  71 | Val MAE 0.2107 (best 0.2111)
    Epoch  73 | Val MAE 0.2214 (best 0.2107)
    Epoch  75 | Val MAE 0.2230 (best 0.2107)
    Epoch  77 | Val MAE 0.2184 (best 0.2107)
    Epoch  79 | Val MAE 0.2105 (best 0.2107)
    Epoch  81 | Val MAE 0.2298 (best 0.2105)
    Epoch  83 | Val MAE 0.2166 (best 0.2105)
    Epoch  85 | Val MAE 0.2142 (best 0.2105)
    Epoch  87 | Val MAE 0.2166 (best 0.2105)
    Epoch  89 | Val MAE 0.2170 (best 0.2105)
    Epoch  91 | Val MAE 0.2107 (best 0.2105)
    Epoch  93 | Val MAE 0.2174 (best 0.2105)
    Val MAE avg: 0.2105  | Test MAE avg: 0.2006

============================================================
Running Strategy: TYPEEMB
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.3034 (best inf)
    Epoch   2 | Val MAE 0.2639 (best 0.3034)
    Epoch   3 | Val MAE 0.2391 (best 0.2639)
    Epoch   5 | Val MAE 0.2325 (best 0.2391)
    Epoch   7 | Val MAE 0.4187 (best 0.2325)
    Epoch   9 | Val MAE 0.2836 (best 0.2325)
    Epoch  11 | Val MAE 0.3497 (best 0.2325)
    Epoch  13 | Val MAE 0.2687 (best 0.2325)
    Epoch  15 | Val MAE 0.2796 (best 0.2325)
    Epoch  17 | Val MAE 0.2618 (best 0.2325)
    Epoch  19 | Val MAE 0.2696 (best 0.2325)
    Val MAE avg: 0.2325  | Test MAE avg: 0.2176
  Seed 123 ...
    Epoch   1 | Val MAE 0.2673 (best inf)
    Epoch   2 | Val MAE 0.2804 (best 0.2673)
    Epoch   3 | Val MAE 0.2367 (best 0.2673)
    Epoch   5 | Val MAE 0.2428 (best 0.2362)
    Epoch   7 | Val MAE 0.2254 (best 0.2321)
    Epoch   9 | Val MAE 0.2265 (best 0.2254)
    Epoch  11 | Val MAE 0.2218 (best 0.2254)
    Epoch  13 | Val MAE 0.2228 (best 0.2172)
    Epoch  15 | Val MAE 0.2149 (best 0.2172)
    Epoch  17 | Val MAE 0.2211 (best 0.2149)
    Epoch  19 | Val MAE 0.2203 (best 0.2149)
    Epoch  21 | Val MAE 0.2181 (best 0.2149)
    Epoch  23 | Val MAE 0.2199 (best 0.2149)
    Epoch  25 | Val MAE 0.2139 (best 0.2132)
    Epoch  27 | Val MAE 0.2139 (best 0.2132)
    Epoch  29 | Val MAE 0.2200 (best 0.2132)
    Epoch  31 | Val MAE 0.2128 (best 0.2132)
    Epoch  33 | Val MAE 0.2211 (best 0.2116)
    Epoch  35 | Val MAE 0.2154 (best 0.2116)
    Epoch  37 | Val MAE 0.2121 (best 0.2116)
    Epoch  39 | Val MAE 0.2124 (best 0.2093)
    Epoch  41 | Val MAE 0.2232 (best 0.2093)
    Epoch  43 | Val MAE 0.2310 (best 0.2093)
    Epoch  45 | Val MAE 0.2120 (best 0.2093)
    Epoch  47 | Val MAE 0.2170 (best 0.2093)
    Epoch  49 | Val MAE 0.2056 (best 0.2093)
