
============================================================
Running Strategy: GENERAL
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2790 (best inf)
    Epoch   2 | Val MAE 0.2832 (best 0.2790)
    Epoch   3 | Val MAE 0.2584 (best 0.2790)
    Epoch   5 | Val MAE 0.2491 (best 0.2584)
    Epoch   7 | Val MAE 0.2470 (best 0.2491)
    Epoch   9 | Val MAE 0.2538 (best 0.2470)
    Epoch  11 | Val MAE 0.2734 (best 0.2470)
    Epoch  13 | Val MAE 0.2542 (best 0.2465)
    Epoch  15 | Val MAE 0.2420 (best 0.2465)
    Epoch  17 | Val MAE 0.2636 (best 0.2415)
    Epoch  19 | Val MAE 0.2511 (best 0.2415)
    Epoch  21 | Val MAE 0.2378 (best 0.2415)
    Epoch  23 | Val MAE 0.2443 (best 0.2363)
    Epoch  25 | Val MAE 0.2551 (best 0.2363)
    Epoch  27 | Val MAE 0.2461 (best 0.2363)
    Epoch  29 | Val MAE 0.2574 (best 0.2363)
    Epoch  31 | Val MAE 0.2594 (best 0.2363)
    Epoch  33 | Val MAE 0.2431 (best 0.2363)
    Epoch  35 | Val MAE 0.2454 (best 0.2363)
    Epoch  37 | Val MAE 0.2443 (best 0.2363)
    Val MAE avg: 0.2363  | Test MAE avg: 0.2241
  Seed 123 ...
    Epoch   1 | Val MAE 0.2769 (best inf)
    Epoch   2 | Val MAE 0.2619 (best 0.2769)
    Epoch   3 | Val MAE 0.2628 (best 0.2619)
    Epoch   5 | Val MAE 0.2476 (best 0.2619)
    Epoch   7 | Val MAE 0.2466 (best 0.2476)
    Epoch   9 | Val MAE 0.2693 (best 0.2466)
    Epoch  11 | Val MAE 0.2472 (best 0.2456)
    Epoch  13 | Val MAE 0.2536 (best 0.2444)
    Epoch  15 | Val MAE 0.2495 (best 0.2444)
    Epoch  17 | Val MAE 0.2447 (best 0.2444)
    Epoch  19 | Val MAE 0.2484 (best 0.2439)
    Epoch  21 | Val MAE 0.2454 (best 0.2439)
    Epoch  23 | Val MAE 0.2466 (best 0.2439)
    Epoch  25 | Val MAE 0.2579 (best 0.2437)
    Epoch  27 | Val MAE 0.2586 (best 0.2437)
    Epoch  29 | Val MAE 0.2543 (best 0.2437)
    Epoch  31 | Val MAE 0.2427 (best 0.2437)
    Epoch  33 | Val MAE 0.2475 (best 0.2405)
    Epoch  35 | Val MAE 0.2421 (best 0.2405)
    Epoch  37 | Val MAE 0.2520 (best 0.2405)
    Epoch  39 | Val MAE 0.2463 (best 0.2405)
    Epoch  41 | Val MAE 0.2702 (best 0.2405)
    Epoch  43 | Val MAE 0.2498 (best 0.2405)
    Epoch  45 | Val MAE 0.2576 (best 0.2405)
    Epoch  47 | Val MAE 0.2486 (best 0.2405)
    Val MAE avg: 0.2405  | Test MAE avg: 0.2247
  Seed 777 ...
    Epoch   1 | Val MAE 0.2824 (best inf)
    Epoch   2 | Val MAE 0.2693 (best 0.2824)
    Epoch   3 | Val MAE 0.2638 (best 0.2693)
    Epoch   5 | Val MAE 0.2456 (best 0.2638)
    Epoch   7 | Val MAE 0.2518 (best 0.2456)
    Epoch   9 | Val MAE 0.2470 (best 0.2456)
    Epoch  11 | Val MAE 0.2601 (best 0.2456)
    Epoch  13 | Val MAE 0.2448 (best 0.2456)
    Epoch  15 | Val MAE 0.2474 (best 0.2448)
    Epoch  17 | Val MAE 0.2416 (best 0.2448)
    Epoch  19 | Val MAE 0.2499 (best 0.2416)
    Epoch  21 | Val MAE 0.2539 (best 0.2416)
    Epoch  23 | Val MAE 0.2417 (best 0.2416)
    Epoch  25 | Val MAE 0.2501 (best 0.2416)
    Epoch  27 | Val MAE 0.2440 (best 0.2416)
    Epoch  29 | Val MAE 0.2458 (best 0.2416)
    Epoch  31 | Val MAE 0.2549 (best 0.2416)
    Val MAE avg: 0.2416  | Test MAE avg: 0.2271

============================================================
Running Strategy: BINARY
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2788 (best inf)
    Epoch   2 | Val MAE 0.2649 (best 0.2788)
    Epoch   3 | Val MAE 0.2580 (best 0.2649)
    Epoch   5 | Val MAE 0.2531 (best 0.2580)
    Epoch   7 | Val MAE 0.2525 (best 0.2526)
    Epoch   9 | Val MAE 0.2507 (best 0.2430)
    Epoch  11 | Val MAE 0.2493 (best 0.2430)
    Epoch  13 | Val MAE 0.2417 (best 0.2430)
    Epoch  15 | Val MAE 0.2532 (best 0.2417)
    Epoch  17 | Val MAE 0.2527 (best 0.2417)
    Epoch  19 | Val MAE 0.2480 (best 0.2417)
    Epoch  21 | Val MAE 0.2502 (best 0.2417)
    Epoch  23 | Val MAE 0.2482 (best 0.2417)
    Epoch  25 | Val MAE 0.2494 (best 0.2413)
    Epoch  27 | Val MAE 0.2457 (best 0.2413)
    Epoch  29 | Val MAE 0.2499 (best 0.2413)
    Epoch  31 | Val MAE 0.2526 (best 0.2413)
    Epoch  33 | Val MAE 0.2490 (best 0.2413)
    Epoch  35 | Val MAE 0.2473 (best 0.2413)
    Epoch  37 | Val MAE 0.2558 (best 0.2413)
    Epoch  39 | Val MAE 0.2679 (best 0.2413)
    Val MAE avg: 0.2413  | Test MAE avg: 0.2287
  Seed 123 ...
    Epoch   1 | Val MAE 0.2742 (best inf)
    Epoch   2 | Val MAE 0.2712 (best 0.2742)
    Epoch   3 | Val MAE 0.2616 (best 0.2712)
    Epoch   5 | Val MAE 0.2579 (best 0.2616)
    Epoch   7 | Val MAE 0.2621 (best 0.2559)
    Epoch   9 | Val MAE 0.2534 (best 0.2474)
    Epoch  11 | Val MAE 0.2469 (best 0.2442)
    Epoch  13 | Val MAE 0.2422 (best 0.2442)
    Epoch  15 | Val MAE 0.2401 (best 0.2422)
    Epoch  17 | Val MAE 0.2573 (best 0.2401)
    Epoch  19 | Val MAE 0.2530 (best 0.2401)
    Epoch  21 | Val MAE 0.2517 (best 0.2401)
    Epoch  23 | Val MAE 0.2573 (best 0.2401)
    Epoch  25 | Val MAE 0.2517 (best 0.2401)
    Epoch  27 | Val MAE 0.2462 (best 0.2401)
    Epoch  29 | Val MAE 0.2480 (best 0.2401)
    Val MAE avg: 0.2401  | Test MAE avg: 0.2268
  Seed 777 ...
    Epoch   1 | Val MAE 0.2823 (best inf)
    Epoch   2 | Val MAE 0.2646 (best 0.2823)
    Epoch   3 | Val MAE 0.2621 (best 0.2646)
    Epoch   5 | Val MAE 0.2466 (best 0.2574)
    Epoch   7 | Val MAE 0.2566 (best 0.2466)
    Epoch   9 | Val MAE 0.2503 (best 0.2466)
    Epoch  11 | Val MAE 0.2431 (best 0.2466)
    Epoch  13 | Val MAE 0.2477 (best 0.2431)
    Epoch  15 | Val MAE 0.2456 (best 0.2431)
    Epoch  17 | Val MAE 0.2541 (best 0.2431)
    Epoch  19 | Val MAE 0.2463 (best 0.2431)
    Epoch  21 | Val MAE 0.2560 (best 0.2431)
    Epoch  23 | Val MAE 0.2498 (best 0.2431)
    Epoch  25 | Val MAE 0.2489 (best 0.2431)
    Val MAE avg: 0.2431  | Test MAE avg: 0.2286

============================================================
Running Strategy: TYPEEMB
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2828 (best inf)
    Epoch   2 | Val MAE 0.2804 (best 0.2828)
    Epoch   3 | Val MAE 0.2636 (best 0.2804)
    Epoch   5 | Val MAE 0.2459 (best 0.2538)
    Epoch   7 | Val MAE 0.2559 (best 0.2459)
    Epoch   9 | Val MAE 0.2571 (best 0.2459)
    Epoch  11 | Val MAE 0.2446 (best 0.2459)
    Epoch  13 | Val MAE 0.2560 (best 0.2409)
    Epoch  15 | Val MAE 0.2482 (best 0.2409)
    Epoch  17 | Val MAE 0.2444 (best 0.2409)
    Epoch  19 | Val MAE 0.2429 (best 0.2409)
    Epoch  21 | Val MAE 0.2515 (best 0.2409)
    Epoch  23 | Val MAE 0.2544 (best 0.2409)
    Epoch  25 | Val MAE 0.2468 (best 0.2409)
    Epoch  27 | Val MAE 0.2467 (best 0.2409)
    Val MAE avg: 0.2409  | Test MAE avg: 0.2271
  Seed 123 ...
    Epoch   1 | Val MAE 0.2798 (best inf)
    Epoch   2 | Val MAE 0.2724 (best 0.2798)
    Epoch   3 | Val MAE 0.2619 (best 0.2724)
    Epoch   5 | Val MAE 0.2559 (best 0.2619)
    Epoch   7 | Val MAE 0.2557 (best 0.2559)
    Epoch   9 | Val MAE 0.2538 (best 0.2500)
    Epoch  11 | Val MAE 0.2455 (best 0.2500)
    Epoch  13 | Val MAE 0.2526 (best 0.2455)
    Epoch  15 | Val MAE 0.2440 (best 0.2452)
    Epoch  17 | Val MAE 0.2527 (best 0.2440)
    Epoch  19 | Val MAE 0.2557 (best 0.2440)
    Epoch  21 | Val MAE 0.2501 (best 0.2432)
    Epoch  23 | Val MAE 0.2472 (best 0.2414)
    Epoch  25 | Val MAE 0.2421 (best 0.2414)
    Epoch  27 | Val MAE 0.2549 (best 0.2414)
    Epoch  29 | Val MAE 0.2432 (best 0.2414)
    Epoch  31 | Val MAE 0.2532 (best 0.2414)
    Epoch  33 | Val MAE 0.2494 (best 0.2414)
    Epoch  35 | Val MAE 0.2449 (best 0.2414)
    Epoch  37 | Val MAE 0.2450 (best 0.2414)
    Val MAE avg: 0.2414  | Test MAE avg: 0.2278
  Seed 777 ...
    Epoch   1 | Val MAE 0.2742 (best inf)
    Epoch   2 | Val MAE 0.2660 (best 0.2742)
    Epoch   3 | Val MAE 0.2626 (best 0.2660)
    Epoch   5 | Val MAE 0.2543 (best 0.2579)
    Epoch   7 | Val MAE 0.2600 (best 0.2506)
    Epoch   9 | Val MAE 0.2549 (best 0.2494)
    Epoch  11 | Val MAE 0.2463 (best 0.2494)
    Epoch  13 | Val MAE 0.2516 (best 0.2463)
    Epoch  15 | Val MAE 0.2414 (best 0.2463)
    Epoch  17 | Val MAE 0.2576 (best 0.2414)
    Epoch  19 | Val MAE 0.2477 (best 0.2414)
    Epoch  21 | Val MAE 0.2502 (best 0.2414)
    Epoch  23 | Val MAE 0.2382 (best 0.2414)
    Epoch  25 | Val MAE 0.2502 (best 0.2382)
    Epoch  27 | Val MAE 0.2448 (best 0.2382)
    Epoch  29 | Val MAE 0.2446 (best 0.2382)
    Epoch  31 | Val MAE 0.2448 (best 0.2382)
    Epoch  33 | Val MAE 0.2496 (best 0.2382)
    Epoch  35 | Val MAE 0.2543 (best 0.2382)
    Epoch  37 | Val MAE 0.2475 (best 0.2382)
    Val MAE avg: 0.2382  | Test MAE avg: 0.2243

============================================================
FINAL RESULTS ¡ª MLP Model
============================================================
Strategy       MAE-1h   MAE-3h   MAE-6h  MAE-avg  MAPE-1h  MAPE-3h  MAPE-6h  RMSE-1h  RMSE-3h  RMSE-6h
--------------------------------------------------------------------------------------------------------
general        0.1486   0.2156   0.2958   0.2253  223.71%  342.20%  436.29%   0.3257   0.4892   0.6613
binary         0.1483   0.2161   0.2989   0.2281  224.39%  325.09%  394.87%   0.3285   0.4915   0.6702
typeemb        0.1467   0.2176   0.2979   0.2264  211.47%  352.21%  399.48%   0.3161   0.4890   0.6744

Ablation Deltas:
  D1 (Binary - General) 1h: -0.0003
  D1 (Binary - General) 3h: +0.0005
  D1 (Binary - General) 6h: +0.0031
  D2 (TypeEmb - Binary) 1h: -0.0015
  D2 (TypeEmb - Binary) 3h: +0.0015
  D2 (TypeEmb - Binary) 6h: -0.0010
