
============================================================
Running Strategy: GENERAL
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2657 (best inf)
    Epoch   2 | Val MAE 0.2372 (best 0.2657)
    Epoch   3 | Val MAE 0.2300 (best 0.2372)
    Epoch   5 | Val MAE 0.2206 (best 0.2297)
    Epoch   7 | Val MAE 0.2125 (best 0.2206)
    Epoch   9 | Val MAE 0.2075 (best 0.2097)
    Epoch  11 | Val MAE 0.2002 (best 0.2075)
    Epoch  13 | Val MAE 0.1999 (best 0.2002)
    Epoch  15 | Val MAE 0.2048 (best 0.1999)
    Epoch  17 | Val MAE 0.2066 (best 0.1995)
    Epoch  19 | Val MAE 0.2041 (best 0.1995)
    Epoch  21 | Val MAE 0.1960 (best 0.1995)
    Epoch  23 | Val MAE 0.1999 (best 0.1960)
    Epoch  25 | Val MAE 0.1980 (best 0.1960)
    Epoch  27 | Val MAE 0.2013 (best 0.1960)
    Epoch  29 | Val MAE 0.2015 (best 0.1960)
    Epoch  31 | Val MAE 0.1968 (best 0.1960)
    Epoch  33 | Val MAE 0.2024 (best 0.1960)
    Epoch  35 | Val MAE 0.1990 (best 0.1960)
    Epoch  37 | Val MAE 0.1951 (best 0.1960)
    Epoch  39 | Val MAE 0.1948 (best 0.1951)
    Epoch  41 | Val MAE 0.1941 (best 0.1948)
    Epoch  43 | Val MAE 0.2008 (best 0.1941)
    Epoch  45 | Val MAE 0.2051 (best 0.1941)
    Epoch  47 | Val MAE 0.1967 (best 0.1917)
    Epoch  49 | Val MAE 0.1940 (best 0.1917)
    Epoch  51 | Val MAE 0.2606 (best 0.1917)
    Epoch  53 | Val MAE 0.2011 (best 0.1917)
    Epoch  55 | Val MAE 0.2003 (best 0.1917)
    Epoch  57 | Val MAE 0.1963 (best 0.1917)
    Epoch  59 | Val MAE 0.1947 (best 0.1917)
    Epoch  61 | Val MAE 0.1954 (best 0.1917)
    Val MAE avg: 0.1917  | Test MAE avg: 0.1857
  Seed 123 ...
    Epoch   1 | Val MAE 0.2488 (best inf)
    Epoch   2 | Val MAE 0.2250 (best 0.2488)
    Epoch   3 | Val MAE 0.2237 (best 0.2250)
    Epoch   5 | Val MAE 0.2200 (best 0.2154)
    Epoch   7 | Val MAE 0.2070 (best 0.2093)
    Epoch   9 | Val MAE 0.2083 (best 0.2070)
    Epoch  11 | Val MAE 0.2116 (best 0.2054)
    Epoch  13 | Val MAE 0.2022 (best 0.2054)
    Epoch  15 | Val MAE 0.1993 (best 0.2000)
    Epoch  17 | Val MAE 0.2002 (best 0.1993)
    Epoch  19 | Val MAE 0.2024 (best 0.1993)
    Epoch  21 | Val MAE 0.2004 (best 0.1993)
    Epoch  23 | Val MAE 0.1989 (best 0.1993)
    Epoch  25 | Val MAE 0.1978 (best 0.1989)
    Epoch  27 | Val MAE 0.1982 (best 0.1978)
    Epoch  29 | Val MAE 0.1990 (best 0.1978)
    Epoch  31 | Val MAE 0.2063 (best 0.1958)
    Epoch  33 | Val MAE 0.2009 (best 0.1958)
    Epoch  35 | Val MAE 0.2081 (best 0.1958)
    Epoch  37 | Val MAE 0.1992 (best 0.1958)
    Epoch  39 | Val MAE 0.2030 (best 0.1958)
    Epoch  41 | Val MAE 0.2054 (best 0.1958)
    Epoch  43 | Val MAE 0.2007 (best 0.1958)
    Epoch  45 | Val MAE 0.1988 (best 0.1958)
    Val MAE avg: 0.1958  | Test MAE avg: 0.1874
  Seed 777 ...
    Epoch   1 | Val MAE 0.2495 (best inf)
    Epoch   2 | Val MAE 0.2350 (best 0.2495)
    Epoch   3 | Val MAE 0.2252 (best 0.2350)
    Epoch   5 | Val MAE 0.2140 (best 0.2241)
    Epoch   7 | Val MAE 0.2172 (best 0.2116)
    Epoch   9 | Val MAE 0.2093 (best 0.2079)
    Epoch  11 | Val MAE 0.2030 (best 0.2075)
    Epoch  13 | Val MAE 0.2011 (best 0.2030)
    Epoch  15 | Val MAE 0.2043 (best 0.2011)
    Epoch  17 | Val MAE 0.2025 (best 0.2011)
    Epoch  19 | Val MAE 0.1976 (best 0.1992)
    Epoch  21 | Val MAE 0.2031 (best 0.1976)
    Epoch  23 | Val MAE 0.2002 (best 0.1976)
    Epoch  25 | Val MAE 0.1955 (best 0.1976)
    Epoch  27 | Val MAE 0.2040 (best 0.1955)
    Epoch  29 | Val MAE 0.1973 (best 0.1955)
    Epoch  31 | Val MAE 0.1997 (best 0.1955)
    Epoch  33 | Val MAE 0.1972 (best 0.1946)
    Epoch  35 | Val MAE 0.2010 (best 0.1946)
    Epoch  37 | Val MAE 0.1977 (best 0.1946)
    Epoch  39 | Val MAE 0.1994 (best 0.1946)
    Epoch  41 | Val MAE 0.1962 (best 0.1946)
    Epoch  43 | Val MAE 0.1972 (best 0.1946)
    Epoch  45 | Val MAE 0.1959 (best 0.1946)
    Epoch  47 | Val MAE 0.1992 (best 0.1946)
    Val MAE avg: 0.1946  | Test MAE avg: 0.1850

============================================================
Running Strategy: BINARY
============================================================
  Seed 42 ...
    Epoch   1 | Val MAE 0.2720 (best inf)
    Epoch   2 | Val MAE 0.2362 (best 0.2720)
    Epoch   3 | Val MAE 0.2237 (best 0.2362)
    Epoch   5 | Val MAE 0.2190 (best 0.2237)
    Epoch   7 | Val MAE 0.2143 (best 0.2143)
    Epoch   9 | Val MAE 0.2110 (best 0.2143)
    Epoch  11 | Val MAE 0.2042 (best 0.2047)
    Epoch  13 | Val MAE 0.2062 (best 0.2042)
    Epoch  15 | Val MAE 0.2093 (best 0.2042)
    Epoch  17 | Val MAE 0.2092 (best 0.2042)
    Epoch  19 | Val MAE 0.2056 (best 0.2021)
    Epoch  21 | Val MAE 0.2066 (best 0.2014)
    Epoch  23 | Val MAE 0.1995 (best 0.2014)
    Epoch  25 | Val MAE 0.2047 (best 0.1995)
    Epoch  27 | Val MAE 0.2072 (best 0.1995)
    Epoch  29 | Val MAE 0.2088 (best 0.1995)
    Epoch  31 | Val MAE 0.2079 (best 0.1995)
    Epoch  33 | Val MAE 0.2051 (best 0.1995)
    Epoch  35 | Val MAE 0.2038 (best 0.1995)
    Epoch  37 | Val MAE 0.2038 (best 0.1995)
    Val MAE avg: 0.1995  | Test MAE avg: 0.1912
  Seed 123 ...
    Epoch   1 | Val MAE 0.2526 (best inf)
    Epoch   2 | Val MAE 0.2362 (best 0.2526)
    Epoch   3 | Val MAE 0.2272 (best 0.2362)
    Epoch   5 | Val MAE 0.2171 (best 0.2232)
    Epoch   7 | Val MAE 0.2134 (best 0.2109)
    Epoch   9 | Val MAE 0.2003 (best 0.2109)
    Epoch  11 | Val MAE 0.2012 (best 0.2003)
