station_id,wgs84_latitude,wgs84_longitude,road_name,suburb,post_code,device_type,quality_rating,year
100001,-33.878181,150.924942,Cambridge Street,Canley Heights,2166,Tirtl,4,2025
10011,-33.876652,151.230606,New South Head Road,Edgecliff,2027,Tirtl,4,2025
22001,-33.825577,151.233261,Military Road,Mosman,2088,Excel Lpl,4,2025
23067,-33.934475,151.15831,Marsh Street,Arncliffe,2205,Excel Ll,4,2025
29005,-33.824696,151.093216,Concord Road,Rhodes,2138,Tirtl,5,2025
32029,-33.821175,151.149902,Burns Bay Road,Lane Cove West,2066,Excel Lpl,4,2025
33014,-33.806141,151.17952,Pacific Highway,Lane Cove North,2066,Excel Lpl,4,2025
34016,-33.778187,151.267136,Condamine Street,Manly Vale,2093,Excel Ll,4,2025
47024,-33.83889,151.029022,Parramatta Road,Auburn,2144,Tirtl,4,2025
50240,-33.796436,150.987595,Briens Road,Northmead,2152,Tirtl,4,2025
50250,-33.797592,150.975433,Hart Drive,Constitution Hill,2145,Excel Lpl,4,2025
50260,-33.819763,151.05188,Silverwater Road,Rydalmere,2116,Tirtl,4,2025
51235,-33.81551,151.101105,Victoria Road,Ryde,2112,Tirtl,4,2025
53003,-33.729225,151.122208,Pacific Highway,Warrawee,2074,Tirtl,5,2025
53004,-33.75317,151.151077,Pacific Highway,Gordon,2072,Tirtl,4,2025
55049,-33.729507,151.30011,Pittwater Road,Collaroy,2097,Tirtl,5,2025
57025,-33.725773,151.219788,Forest Way,Belrose,2085,Excel Lpl,5,2025
6105,-33.437302,149.929047,Great Western Highway,Meadow Flat,2795,Tirtl,4,2025
6107,-33.424236,149.665482,Sydney Road,Raglan,2795,Tirtl,4,2025
6109,-34.820808,149.599777,Federal Highway,Yarra,2580,Tirtl,5,2025
6110,-34.912457,149.442764,Federal Highway,Collector,2581,Tirtl,5,2025
6113,-36.210968,149.154999,Monaro Highway,Cooma,2630,Tirtl,4,2025
6114,-35.975777,149.138184,Monaro Highway,Bredbo,2626,Tirtl,4,2025
6119-PR,-32.088028,152.405975,Pacific Highway,Nabiac,2312,Tirtl,5,2025
6120-PR,-31.968466,152.463989,Pacific Highway,Kiwarrak,2430,Tirtl,5,2025
6124,-31.105118,152.831375,Macleay Valley Way,South Kempsey,2440,Tirtl,4,2025
6126,-31.40626,152.820175,Pacific Highway,Blackmans Point,2444,Tirtl,5,2025
6145,-31.995474,148.579636,Newell Highway,Eumungerie,2822,Tirtl,4,2025
6146,-31.748741,148.641037,Newell Highway,Gilgandra,2827,Tirtl,4,2025
6147,-31.74824,148.641083,Newell Highway,Gilgandra,2827,Tirtl,4,2025
6148,-31.995008,148.579727,Newell Highway,Eumungerie,2822,Tirtl,4,2025
6149,-32.657825,148.199264,Newell Highway,Tomingley,2869,Tirtl,4,2025
6152,-32.657585,148.199356,Newell Highway,Tomingley,2869,Tirtl,4,2025
6167,-30.979286,150.307693,Oxley Highway,Gunnedah,2380,Tirtl,4,2025
6168,-31.063797,150.833038,Oxley Highway,Westdale,2340,Tirtl,4,2025
6194,-30.984961,150.768204,Oxley Highway,Bective,2340,Tirtl,4,2025
6196,-31.08548,152.871231,Pacific Highway,Verges Creek,2440,Tirtl,5,2025
6197,-31.08506,152.872116,Pacific Highway,Verges Creek,2440,Tirtl,5,2025
66249,-33.869324,150.963486,Fairfield Street,Fairfield East,2165,Tirtl,4,2025
68025,-33.816696,150.976623,Great Western Highway,South Wentworthville,2145,Tirtl,4,2025
7112,-33.843338,151.043411,Silverwater Road,Auburn,2144,Tirtl,5,2025
7119-PR,-33.817974,150.981827,Hawkesbury Road,Merrylands,2160,Tirtl,5,2025
7120,-33.886311,151.217911,South Dowling Street,Surry Hills,2010,Tirtl,5,2025
7121,-33.886032,151.218079,South Dowling Street,Surry Hills,2010,Tirtl,5,2025
