station_id,Abs PM_x,incident_id,Abs PM_y,dt,dis
F3FWY003,-33.560299,219468,151.192551,01/02/2025 12:58:54,0.104
7251,-33.874916,219979,151.155319,01/09/2025 10:07:54,0.073
7179,-33.817272,220424,150.962784,01/14/2025 08:22:57,0.285
7120,-33.886311,220471,151.217911,01/14/2025 13:00:23,0.1
7121,-33.886032,220471,151.218079,01/14/2025 13:00:23,0.068
7163,-33.865181,221512,151.171997,01/21/2025 22:58:28,0.156
7179,-33.817272,222027,150.962784,01/28/2025 12:44:45,0.041
7163,-33.865181,213593,151.171997,11/08/2024 16:56:05,0.392
7168,-33.798195,219440,150.897125,01/01/2025 22:51:21,0.735
7184,-33.772957,219943,151.135391,01/08/2025 23:51:27,0.144
7179,-33.817272,220200,150.962784,01/11/2025 08:36:55,0.144
T0085,-33.665455,220680,151.090271,01/15/2025 21:08:43,0.346
T0085,-33.665455,220873,151.090271,01/16/2025 21:30:18,0.346
7132,-33.953056,221167,151.137482,01/18/2025 11:39:27,0.722
51235,-33.81551,221723,151.101105,01/24/2025 02:03:22,0.034
7132,-33.953056,222140,151.137482,01/29/2025 08:40:23,0.729
F3FWY003,-33.560299,222476,151.192551,01/31/2025 16:23:46,0.02
7163,-33.865181,133378,151.171997,08/25/2022 19:03:22,0.594
7120,-33.886311,219427,151.217911,01/01/2025 15:24:32,0.413
7121,-33.886032,219427,151.218079,01/01/2025 15:24:32,0.385
F3FWY005,-33.429348,203650,151.22467,08/04/2024 15:31:40,0.414
7248,-33.906151,219833,151.040207,01/07/2025 18:36:37,0.237
9827,-33.719955,219844,151.298111,01/08/2025 05:00:20,0.154
51235,-33.81551,220287,151.101105,01/13/2025 00:29:00,0.765
29005,-33.824696,221414,151.093216,01/21/2025 06:36:35,0.246
23067,-33.934475,221498,151.15831,01/21/2025 16:55:07,0.214
10011,-33.876652,222066,151.230606,01/28/2025 16:38:37,0.105
7139,-33.876884,222066,151.228683,01/28/2025 16:38:37,0.075
33014,-33.806141,222370,151.17952,01/31/2025 07:29:35,0.749
7132,-33.953056,108923,151.137482,12/22/2021 08:14:50,0.261
9836-PR,-33.819687,219653,151.117416,01/06/2025 12:27:21,0.058
7119-PR,-33.817974,220419,150.981827,01/14/2025 06:46:14,0.007
7119-PR,-33.817974,220429,150.981827,01/14/2025 08:44:09,0.37
53003,-33.729225,220582,151.122208,01/15/2025 10:08:56,0.172
7184,-33.772957,220763,151.135391,01/16/2025 10:22:43,0.289
47024,-33.83889,221135,151.029022,01/18/2025 08:35:20,0.072
7126,-34.035271,221501,151.113007,01/21/2025 17:58:50,0.75
7248,-33.906151,221798,151.040207,01/24/2025 15:56:55,0.063
33014,-33.806141,222011,151.17952,01/28/2025 11:22:54,0.622
7179,-33.817272,219630,150.962784,01/06/2025 08:33:50,0.691
7112,-33.843338,219783,151.043411,01/07/2025 12:22:52,0.764
10011,-33.876652,219957,151.230606,01/09/2025 06:14:47,0.203
7139,-33.876884,219957,151.228683,01/09/2025 06:14:47,0.024
47024,-33.83889,219950,151.029022,01/09/2025 04:38:50,0.212
7126,-34.035271,220319,151.113007,01/13/2025 11:01:02,0.7
7251,-33.874916,220679,151.155319,01/15/2025 21:06:35,0.073
7274,-33.779202,222334,150.814102,01/30/2025 17:15:36,0.024
